date,budgetYear,description,amountUSD,srcOrganization,srcOrganizationTypes,srcLocations,srcUsageYearStart,srcUsageYearEnd,destPlan,destPlanCode,destPlanId,destOrganization,destOrganizationTypes,destGlobalClusters,destLocations,destProject,destProjectCode,destEmergency,destUsageYearStart,destUsageYearEnd,contributionType,flowType,method,boundary,onBoundary,status,firstReportedDate,decisionDate,keywords,originalAmount,originalCurrency,exchangeRate,id,refCode,createdAt,updatedAt
#date,#date+year+budget,#description+notes,#value+funding+total+usd,#org+name+funder,#org+type+funder+list,#country+iso3+funder+list,#date+year+start+funder,#date+year+end+funder,#activity+appeal+name,#activity+appeal+id+external,#activity+appeal+id+fts_internal,#org+name+impl,#org+type+impl+list,#sector+cluster+name+list,#country+iso3+impl+list,#activity+project+name,#activity+project+code,#crisis+name,#date+year+start+impl,#date+year+end+impl,#financial+contribution+type,#financial+contribution+type,#financial+method,#financial+direction,#financial+direction+type,#status+text,#date+reported,#date+decision,#description+keywords,#value+funding+total,#value+funding+total+currency,#financial+fx,#activity+id+fts_internal,#activity+code,#date+created,#date+updated
2021-07-01,2021,To support the affected population,1909308,"Austria, Government of",Government,AUT,2021,2021,,,,United Nations High Commissioner for Refugees,UN agency,Emergency Shelter and NFI,,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-07-01,2021-07-01,,1600000,EUR,0.838,234590,2021-0.398.549,2021-07-02,2021-07-02
2021-07-01,2021,To support the affected population,1789976,"Austria, Government of",Government,AUT,2021,2021,Syria Humanitarian Response Plan 2021,HSYR21,1044,World Food Programme,UN agency,,SYR,,,Syrian Arab Republic - Civil Unrest (from 2012),2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-07-01,2021-07-01,,1500000,EUR,0.838,234591,2021-0.370.727,2021-07-02,2021-07-09
2021-07-01,2021,To support the affected population,1789976,"Austria, Government of",Government,AUT,2021,2021,Syria Humanitarian Response Plan 2021,HSYR21,1044,International Committee of the Red Cross,Red Cross/Red Crescent,Emergency Shelter and NFI,SYR,,,Syrian Arab Republic - Civil Unrest (from 2012),2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-07-01,2021-07-01,,1500000,EUR,0.838,234592,2021-0.370.727,2021-07-02,2021-07-09
2021-07-01,2021,To support the affected population,1193317,"Austria, Government of",Government,AUT,2021,2021,Syria Humanitarian Response Plan 2021,HSYR21,1044,United Nations Population Fund,UN agency,Emergency Shelter and NFI,SYR,,,Syrian Arab Republic - Civil Unrest (from 2012),2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-07-01,2021-07-01,,1000000,EUR,0.838,234593,2021-0.370.727,2021-07-02,2021-07-09
2021-07-01,2021,To support the affected population,2386635,"Austria, Government of",Government,AUT,2021,2021,Syria Humanitarian Response Plan 2021,HSYR21,1044,United Nations Children's Fund,UN agency,Emergency Shelter and NFI,SYR,,,Syrian Arab Republic - Civil Unrest (from 2012),2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-07-01,2021-07-01,,2000000,EUR,0.838,234594,2021-0.370.727,2021-07-02,2021-07-09
2021-07-01,2021,Humanitarian crisis in Colombia,1193317,"Austria, Government of",Government,AUT,2021,2021,,,,UN agencies and NGOs (details not yet provided),Other,,COL,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,pledge,2021-07-01,2021-07-01,,1000000,EUR,0.838,234605,2021-0.398.549,2021-07-02,2021-07-02
2021-07-01,2021,Humanitarian crisis in Venezuela,1193317,"Austria, Government of",Government,AUT,2021,2021,,,,UN agencies and NGOs (details not yet provided),Other,,VEN,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,pledge,2021-07-01,2021-07-01,,1000000,EUR,0.838,234606,2021-0.398.549,2021-07-02,2021-07-02
2021-07-01,2021,To support the affected population,1193317,"Austria, Government of",Government,AUT,2021,2021,,,,UN agencies and NGOs (details not yet provided),Other,,JOR,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,pledge,2021-07-01,2021-07-01,,1000000,EUR,0.838,234607,2021-0.370.727,2021-07-02,2021-07-02
2021-07-01,2021,To support the affected population,1193317,"Austria, Government of",Government,AUT,2021,2021,,,,UN agencies and NGOs (details not yet provided),Other,,LBN,,,Syrian Arab Republic - Civil Unrest (from 2012),2021,2021,financial,Standard,Traditional aid,outgoing,single,pledge,2021-07-01,2021-07-01,,1000000,EUR,0.838,234608,2021-0.370.727,2021-07-02,2021-07-02
