date,budgetYear,description,amountUSD,srcOrganization,srcOrganizationTypes,srcLocations,srcUsageYearStart,srcUsageYearEnd,destPlan,destPlanCode,destPlanId,destOrganization,destOrganizationTypes,destGlobalClusters,destLocations,destProject,destProjectCode,destEmergency,destUsageYearStart,destUsageYearEnd,contributionType,flowType,method,boundary,onBoundary,status,firstReportedDate,decisionDate,keywords,originalAmount,originalCurrency,exchangeRate,id,refCode,createdAt,updatedAt
#date,#date+year+budget,#description+notes,#value+funding+total+usd,#org+name+funder,#org+type+funder+list,#country+iso3+funder+list,#date+year+start+funder,#date+year+end+funder,#activity+appeal+name,#activity+appeal+id+external,#activity+appeal+id+fts_internal,#org+name+impl,#org+type+impl+list,#sector+cluster+name+list,#country+iso3+impl+list,#activity+project+name,#activity+project+code,#crisis+name,#date+year+start+impl,#date+year+end+impl,#financial+contribution+type,#financial+contribution+type,#financial+method,#financial+direction,#financial+direction+type,#status+text,#date+reported,#date+decision,#description+keywords,#value+funding+total,#value+funding+total+currency,#financial+fx,#activity+id+fts_internal,#activity+code,#date+created,#date+updated
2021-06-22,,"Nigeria, Humanitarian Fund (NHF)  [OCT 8687]",6097561,"Belgium, Government of",Government,BEL,2021,2021,Nigeria Humanitarian Response Plan 2021,HNGA21,1032,Nigeria Humanitarian Fund,Pooled fund,,NGA,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,paid,2021-06-12,2021-06-10,,5000000,EUR,0.82,233062,OCT 8687,2021-06-24,2021-06-24
2021-06-22,,oPt Humanitarian Fund (oPt HF) [OCT 8687],4878049,"Belgium, Government of",Government,BEL,2021,2021,occupied Palestinian territory 2021,HPSE21,1012,occupied Palestinian territory Humanitarian Fund,Pooled fund,,PSE,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,paid,2021-06-12,2021-06-10,,4000000,EUR,0.82,233063,OCT 8687,2021-06-24,2021-06-24
2021-06-22,,Syria Humanitarian Fund (SHF) [OCT 8687],8536585,"Belgium, Government of",Government,BEL,2021,2021,Syria Humanitarian Response Plan 2021,HSYR21,1044,Syrian Arab Republic Humanitarian Fund,Pooled fund,,SYR,,,Syrian Arab Republic - Civil Unrest (from 2012),2021,2021,financial,Standard,Traditional aid,outgoing,single,paid,2021-06-12,2021-06-10,,7000000,EUR,0.82,233064,OCT 8687,2021-06-24,2021-06-24
2021-06-22,,Lebanon Humanitarian Fund (LHF) [OCT 8687],4878049,"Belgium, Government of",Government,BEL,2021,2021,Syria Refugee Response and Resilience Plan (3RP) 2021,RSYR21,1020,Lebanon Humanitarian Fund,Pooled fund,,LBN,,,Syrian Arab Republic - Civil Unrest (from 2012),2021,2021,financial,Standard,Traditional aid,outgoing,single,paid,2021-06-12,2021-06-10,,4000000,EUR,0.82,233065,OCT 8687,2021-06-24,2021-06-24
2021-06-22,,Syria Cross-border Humanitarian Fund (SCHF) [OCT 8687],4878049,"Belgium, Government of",Government,BEL,2021,2021,Syria Refugee Response and Resilience Plan (3RP) 2021,RSYR21,1020,Syria Cross-border Humanitarian Fund,Pooled fund,,TUR,,,Syrian Arab Republic - Civil Unrest (from 2012),2021,2021,financial,Standard,Traditional aid,outgoing,single,paid,2021-06-12,2021-06-10,,4000000,EUR,0.82,233067,OCT 8687,2021-06-24,2021-06-24
2021-06-10,,OCT 8687 [OCT 8687],6097561,"Belgium, Government of",Government,BEL,2021,2021,Yemen Humanitarian Response Plan 2021,HYEM21,1024,Yemen Humanitarian Fund,Pooled fund,,YEM,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-06-12,2021-06-10,,5000000,EUR,0.82,233066,OCT 8687,2021-06-12,2021-06-15
2021-06-10,,"Nigeria, Humanitarian Fund (NHF) [OCT 8688]",6097561,"Belgium, Government of",Government,BEL,2021,2021,,,,Nigeria Humanitarian Fund,Pooled fund,,NGA,,,,2022,2022,financial,Standard,Traditional aid,outgoing,single,commitment,2021-06-12,2021-06-10,,5000000,EUR,0.82,233068,OCT 8688,2021-06-22,2021-06-22
2021-06-10,,oPt Humanitarian Fund (oPt HF  [OCT 8688],4878049,"Belgium, Government of",Government,BEL,2021,2021,,,,occupied Palestinian territory Humanitarian Fund,Pooled fund,,PSE,,,,2022,2022,financial,Standard,Traditional aid,outgoing,single,commitment,2021-06-12,2021-06-10,,4000000,EUR,0.82,233069,OCT 8688,2021-06-22,2021-06-22
2021-06-10,,Syria Humanitarian Fund (SHF) [OCT 8688],8536585,"Belgium, Government of",Government,BEL,2021,2021,,,,Syrian Arab Republic Humanitarian Fund,Pooled fund,,SYR,,,Syrian Arab Republic - Civil Unrest (from 2012),2022,2022,financial,Standard,Traditional aid,outgoing,single,commitment,2021-06-12,2021-06-10,,7000000,EUR,0.82,233070,OCT 8688,2021-06-22,2021-06-22
2021-06-10,,Lebanon Humanitarian Fund (LHF) OCT 8688 [OCT 8688],4878049,"Belgium, Government of",Government,BEL,2021,2021,,,,Syrian Arab Republic Humanitarian Fund,Pooled fund,,SYR,,,Syrian Arab Republic - Civil Unrest (from 2012),2022,2022,financial,Standard,Traditional aid,outgoing,single,commitment,2021-06-12,2021-06-10,,4000000,EUR,0.82,233071,OCT 8688,2021-06-22,2021-06-22
2021-06-10,,Yemen Humanitarian Fund (YHF) [OCT 8688],6097561,"Belgium, Government of",Government,BEL,2021,2021,,,,Yemen Humanitarian Fund,Pooled fund,,YEM,,,,2022,2022,financial,Standard,Traditional aid,outgoing,single,commitment,2021-06-12,2021-06-10,,5000000,EUR,0.82,233072,OCT 8688,2021-06-22,2021-06-22
