date,budgetYear,description,amountUSD,srcOrganization,srcOrganizationTypes,srcLocations,srcUsageYearStart,srcUsageYearEnd,destPlan,destPlanCode,destPlanId,destOrganization,destOrganizationTypes,destGlobalClusters,destLocations,destProject,destProjectCode,destEmergency,destUsageYearStart,destUsageYearEnd,contributionType,flowType,method,boundary,onBoundary,status,firstReportedDate,decisionDate,keywords,originalAmount,originalCurrency,exchangeRate,id,refCode,createdAt,updatedAt
#date,#date+year+budget,#description+notes,#value+funding+total+usd,#org+name+funder,#org+type+funder+list,#country+iso3+funder+list,#date+year+start+funder,#date+year+end+funder,#activity+appeal+name,#activity+appeal+id+external,#activity+appeal+id+fts_internal,#org+name+impl,#org+type+impl+list,#sector+cluster+name+list,#country+iso3+impl+list,#activity+project+name,#activity+project+code,#crisis+name,#date+year+start+impl,#date+year+end+impl,#financial+contribution+type,#financial+contribution+type,#financial+method,#financial+direction,#financial+direction+type,#status+text,#date+reported,#date+decision,#description+keywords,#value+funding+total,#value+funding+total+currency,#financial+fx,#activity+id+fts_internal,#activity+code,#date+created,#date+updated
2021-07-02,,"Niger, Regionally-hosted Pooled Fund. OCT 9768 [OCT 9768]",5614373,"Denmark, Government of",Government,DNK,2021,2021,,,,"Niger, Regionally-hosted Pooled Fund",Pooled fund,Coordination and support services,NER,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-07-06,2021-07-02,,35000000,DKK,6.096,234769,OCT 9768,2021-07-08,2021-07-08
2021-06-29,,Building a pathway for durable solutions for Syrian refugees and IDPs in Iraq,5608922,"Denmark, Government of",Government,DNK,2021,2021,,,,OXFAM,NGO,,IRQ,,,,2022,2022,financial,Standard,Traditional aid,outgoing,single,commitment,2021-06-15,2020-12-01,Multiyear,,,,234433,R09691,2021-06-29,2021-06-29
2021-06-29,2021,Response to conflict,87762,"Denmark, Government of",Government,DNK,2021,2021,Myanmar Humanitarian Response Plan 2021,HMMR21,1046,CARITAS,NGO,Food Security,MMR,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-07-06,2021-06-29,,535000,DKK,6.096,234895,2017-12401,2021-07-07,2021-07-07
2021-06-29,2021,"Emergency response fund, protection to migrants",219406,"Denmark, Government of",Government,DNK,2021,2021,Ethiopia Humanitarian Response Plan 2021,HETH21,1041,Danish Refugee Council,NGO,Protection,ETH,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-07-06,2021-06-29,,1337500,DKK,6.096,234896,2017-12467,2021-07-07,2021-07-07
2021-06-28,2021,"Danish extraordinary contribution to UNICEF's humanitarian action in Ethiopia including Tigray, 2021",4921260,"Denmark, Government of",Government,DNK,2021,2021,Ethiopia Humanitarian Response Plan 2021,HETH21,1041,United Nations Children's Fund,UN agency,,ETH,,,Ethiopia Tigray Complex Emergency,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-07-06,2021-06-28,,30000000,DKK,6.096,234893,2021-23018,2021-07-07,2021-07-07
2021-06-28,2021,"Danish contribution to the UN Regionally-hosted Pooled Fund for Central and West Africa, Niger country envelope, 2021",5741470,"Denmark, Government of",Government,DNK,2021,2021,,,,Danish Red Cross,Red Cross/Red Crescent,,NER,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-07-06,2021-06-28,,35000000,DKK,6.096,234894,2021-21295,2021-07-07,2021-07-07
2021-06-25,2021,Response to COVID-19,87762,"Denmark, Government of",Government,DNK,2021,2021,,,,Danish Red Cross,Red Cross/Red Crescent,Health,NPL,,,Coronavirus disease Outbreak - COVID -19,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-07-06,2021-06-25,,535000,DKK,6.096,234897,2017-12520,2021-07-07,2021-07-07
2021-06-24,,Syria Humanitarian Fund (SHF) [OCT 9577],4101050,"Denmark, Government of",Government,DNK,2021,2021,Syria Humanitarian Response Plan 2021,HSYR21,1044,Syrian Arab Republic Humanitarian Fund,Pooled fund,,SYR,,,Syrian Arab Republic - Civil Unrest (from 2012),2021,2021,financial,Standard,Traditional aid,outgoing,single,paid,2021-06-12,2021-06-10,,25000000,DKK,6.096,233074,OCT 9577,2021-06-26,2021-06-28
2021-06-24,,Lebanon Humanitarian Fund (LHF) OCT 9579,2460630,"Denmark, Government of",Government,DNK,2021,2021,Syria Refugee Response and Resilience Plan (3RP) 2021,RSYR21,1020,Lebanon Humanitarian Fund,Pooled fund,,LBN,,,Syrian Arab Republic - Civil Unrest (from 2012),2021,2021,financial,Standard,Traditional aid,outgoing,single,paid,2021-06-12,2021-06-10,,15000000,DKK,6.096,233075,OCT 9579,2021-06-26,2021-06-28
