date,budgetYear,description,amountUSD,srcOrganization,srcOrganizationTypes,srcLocations,srcUsageYearStart,srcUsageYearEnd,destPlan,destPlanCode,destPlanId,destOrganization,destOrganizationTypes,destGlobalClusters,destLocations,destProject,destProjectCode,destEmergency,destUsageYearStart,destUsageYearEnd,contributionType,flowType,method,boundary,onBoundary,status,firstReportedDate,decisionDate,keywords,originalAmount,originalCurrency,exchangeRate,id,refCode,createdAt,updatedAt
#date,#date+year+budget,#description+notes,#value+funding+total+usd,#org+name+funder,#org+type+funder+list,#country+iso3+funder+list,#date+year+start+funder,#date+year+end+funder,#activity+appeal+name,#activity+appeal+id+external,#activity+appeal+id+fts_internal,#org+name+impl,#org+type+impl+list,#sector+cluster+name+list,#country+iso3+impl+list,#activity+project+name,#activity+project+code,#crisis+name,#date+year+start+impl,#date+year+end+impl,#financial+contribution+type,#financial+contribution+type,#financial+method,#financial+direction,#financial+direction+type,#status+text,#date+reported,#date+decision,#description+keywords,#value+funding+total,#value+funding+total+currency,#financial+fx,#activity+id+fts_internal,#activity+code,#date+created,#date+updated
2021-06-02,2021,Aid to UNRWA's Gaza Flash Appeal,1219512,"Finland, Government of",Government,FIN,2021,2021,occupied Palestinian territory 2021,HPSE21,1012,United Nations Relief and Works Agency for Palestine Refugees in the Near East,UN agency,,PSE,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-06-02,2021-06-02,,1000000,EUR,0.82,232501,,2021-06-03,2021-06-04
2021-05-26,2021,Aid to victims of conflict in Syria,2421308,"Finland, Government of",Government,FIN,2021,2021,Syria Humanitarian Response Plan 2021,HSYR21,1044,United Nations Population Fund,UN agency,"Health,Protection - Gender-Based Violence",SYR,,,Syrian Arab Republic - Civil Unrest (from 2012),2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-05-26,2021-05-26,,2000000,EUR,0.826,232218,,2021-05-27,2021-05-27
2021-05-10,2021,Food Assistance to Afghanistan,2344666,"Finland, Government of",Government,FIN,2021,2021,Afghanistan Humanitarian Response Plan 2021,HAFG21,1031,World Food Programme,UN agency,Food Security,AFG,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,paid,2021-05-10,2021-05-10,,2000000,EUR,0.853,231647,10040579	No	FIN PFOYWZSU-06	FIN-C-00135-01	AF01,2021-06-09,2021-06-09
2021-05-10,2021,"Food Assistance to Sahel (Burkina Faso, Mali, Niger)",2091955,"Finland, Government of",Government,FIN,2021,2021,,,,World Food Programme,UN agency,Food Security,"BFA,MLI,NER",,,,2021,2021,financial,Parked,Traditional aid,outgoing,shared,commitment,2021-05-10,2021-05-10,,1727955,EUR,0.826,231648,,2021-05-11,2021-06-23
2021-05-10,2021,For Implementation of the Disability Inclusion Road Map,1210654,"Finland, Government of",Government,FIN,2021,2021,,,,World Food Programme,UN agency,,,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-05-10,2021-05-10,,1000000,EUR,0.826,231649,,2021-05-11,2021-05-19
2021-04-21,2021,Aid to victims of conflict in Afghanistan,1172333,"Finland, Government of",Government,FIN,2021,2021,,,,International Committee of the Red Cross,Red Cross/Red Crescent,Health,AFG,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-05-06,2021-04-21,,1000000,EUR,0.853,231469,,2021-05-07,2021-05-19
2021-04-21,2021,Aid to victims of conflict in Burkina Faso,1406800,"Finland, Government of",Government,FIN,2021,2021,,,,International Committee of the Red Cross,Red Cross/Red Crescent,"Food Security,Health",BFA,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-05-06,2021-04-21,,1200000,EUR,0.853,231470,,2021-05-07,2021-05-19
2021-04-21,2021,Aid to victims of conflict in South Sudan,2344666,"Finland, Government of",Government,FIN,2021,2021,,,,International Committee of the Red Cross,Red Cross/Red Crescent,"Food Security,Health,Water Sanitation Hygiene",SSD,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-05-06,2021-04-21,,2000000,EUR,0.853,231471,,2021-05-07,2021-05-19
2021-04-21,2021,Aid to victims of conflict in Yemen,3165299,"Finland, Government of",Government,FIN,2021,2021,,,,International Committee of the Red Cross,Red Cross/Red Crescent,"Food Security,Health,Protection,Water Sanitation Hygiene",YEM,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-05-06,2021-04-21,,2700000,EUR,0.853,231472,,2021-05-07,2021-05-19
2021-04-21,2021,Aid to victims of conflict in Ukraine,937866,"Finland, Government of",Government,FIN,2021,2021,,,,International Committee of the Red Cross,Red Cross/Red Crescent,"Early Recovery,Food Security,Health",UKR,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-05-06,2021-04-21,,800000,EUR,0.853,231488,,2021-06-29,2021-07-09
2021-04-21,,Répondre aux besoins immédiats de sécurité alimentaire,318927,"Finland, Government of",Government,FIN,2021,2021,Mali Humanitarian Response Plan 2021,HMLI21,1036,World Food Programme,UN agency,Food Security,MLI,Répondre aux besoins immédiats de sécurité alimentaire,HMLI21-FSC-174745-1,,2021,2021,financial,Standard,Traditional aid,outgoing,single,paid,2021-06-22,2021-04-21,,272045,EUR,0.853,233784,10040590	No	FIN PFOYWZSU-06	FIN-C-00135-03	ML02,2021-06-23,2021-06-23
2021-04-13,2021,Aid to victims of conflict in Ethiopia,820633,"Finland, Government of",Government,FIN,2021,2021,,,,Plan International,NGO,"Early Recovery,Food Security,Water Sanitation Hygiene",ETH,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-04-13,2021-04-13,,700000,EUR,0.853,229933,,2021-04-14,2021-04-16
2021-04-13,2021,Aid to victims of conflict in Ethiopia,527933,"Finland, Government of",Government,FIN,2021,2021,,,,Finnish Refugee Council,NGO,Education,ETH,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-04-13,2021-04-13,,450327,EUR,0.853,229937,,2021-04-14,2021-04-16
2021-04-13,2021,Aid to victims of conflict in Myanmar,531727,"Finland, Government of",Government,FIN,2021,2021,Myanmar Humanitarian Response Plan 2021,HMMR21,1046,Finnish Refugee Council,NGO,Protection,MMR,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-04-13,2021-04-13,,453563,EUR,0.853,229938,,2021-04-14,2021-04-16
2021-04-12,2021,Aid to victims of refugee crisis in Uganda,1055100,"Finland, Government of",Government,FIN,2021,2021,,,,ACT Alliance / Finn Church Aid,NGO,Education,UGA,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-04-12,2021-04-12,,900000,EUR,0.853,229873,,2021-04-13,2021-04-13
2021-04-12,2021,Aid to victims of conflict in South Sudan,2344666,"Finland, Government of",Government,FIN,2021,2021,South Sudan Humanitarian Response Plan 2021,HSSD21,1013,United Nations High Commissioner for Refugees,UN agency,,SSD,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-04-12,2021-04-12,,2000000,EUR,0.853,229874,,2021-04-13,2021-04-13
2021-04-12,2021,Aid to victims of Syria crisis,5861665,"Finland, Government of",Government,FIN,2021,2021,Syria Refugee Response and Resilience Plan (3RP) 2021,RSYR21,1020,United Nations High Commissioner for Refugees,UN agency,,"EGY,IRQ,JOR,LBN,TUR",,,Syrian Arab Republic - Civil Unrest (from 2012),2021,2021,financial,Standard,Traditional aid,outgoing,shared,commitment,2021-04-12,2021-04-12,,5000000,EUR,0.853,229875,,2021-04-13,2021-04-13
2021-04-12,2021,Aid to victims of conflict in DR Congo,1406800,"Finland, Government of",Government,FIN,2021,2021,Democratic Republic of Congo Humanitarian Response Plan 2021,HCOD21,1026,Fida International,NGO,"Food Security,Health",COD,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-04-12,2021-04-12,,1200000,EUR,0.853,229914,,2021-04-13,2021-04-13
2021-04-12,2021,Aid to victims of conflict in Yemen,1230950,"Finland, Government of",Government,FIN,2021,2021,Yemen Humanitarian Response Plan 2021,HYEM21,1024,Fida International,NGO,"Food Security,Health",YEM,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-04-12,2021-04-12,,1050000,EUR,0.853,229915,,2021-04-13,2021-04-13
2021-04-12,2021,Aid to victims of refugee crisis in Burundi,762016,"Finland, Government of",Government,FIN,2021,2021,Burundi Humanitarian Response Plan 2021,HBDI21,1039,World Vision Burundi,NGO,Water Sanitation Hygiene,BDI,WASH services for returnees in Burundi,HBDI21-WSH-175414-1,,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-04-12,2021-04-12,,650000,EUR,0.853,229916,,2021-04-13,2021-04-13
2021-04-12,2021,Aid to victims of refugee crisis in Uganda,820633,"Finland, Government of",Government,FIN,2021,2021,,,,World Vision International,NGO,"Protection,Water Sanitation Hygiene",UGA,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-04-12,2021-04-12,,700000,EUR,0.853,229917,,2021-04-13,2021-04-13
2021-04-12,2021,Aid to victims of conflict in Somalia,1172333,"Finland, Government of",Government,FIN,2021,2021,Somalia Humanitarian Response Plan 2021,HSOM21,1011,Save the Children,NGO,Food Security,SOM,Cash and livelihoods assistance to households facing crisis and emergency,HSOM21-FSC-171310-1,,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-04-12,2021-04-12,,1000000,EUR,0.853,229918,,2021-04-13,2021-04-13
2021-04-12,2021,Aid to victims of conflict in CAR,644783,"Finland, Government of",Government,FIN,2021,2021,Central African Republic Humanitarian Response Plan 2021,HCAF21,1025,ACT Alliance / Finn Church Aid,NGO,Education,CAF,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-04-12,2021-04-12,,550000,EUR,0.853,229919,,2021-04-13,2021-04-13
2021-04-12,2021,Aid to victims of humanitarian and food crisis in North Korea,586166,"Finland, Government of",Government,FIN,2021,2021,,,,ACT Alliance / Finn Church Aid,NGO,Food Security,PRK,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-04-12,2021-04-12,,500000,EUR,0.853,229920,,2021-04-13,2021-04-13
2021-04-01,2021,Aid to victims of conflict in Uganda,820633,"Finland, Government of",Government,FIN,2021,2021,,,,World Vision International,NGO,"Protection,Water Sanitation Hygiene",UGA,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-04-01,2021-04-01,,700000,EUR,0.853,229452,,2021-04-02,2021-04-06
2021-03-04,2021,Core funding to WFP,9791922,"Finland, Government of",Government,FIN,2021,2021,,,,World Food Programme,UN agency,,,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-03-04,2021-03-04,,8000000,EUR,0.817,228483,,2021-03-05,2021-03-08
2021-03-03,2021,Core funding to ICRC,3671971,"Finland, Government of",Government,FIN,2021,2021,,,,International Committee of the Red Cross,Red Cross/Red Crescent,,,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-03-03,2021-03-03,,3000000,EUR,0.817,228459,,2021-03-04,2021-03-08
2021-02-18,2021,Core funding to UNDRR,1213592,"Finland, Government of",Government,FIN,2021,2021,,,,UN Office for Disaster Risk Reduction,UN agency,,,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-02-18,2021-02-18,,1000000,EUR,0.824,228114,,2021-02-19,2021-02-19
2021-02-18,2021,"Aid to victims of conflict in Tigray, Ethiopia",2427184,"Finland, Government of",Government,FIN,2021,2021,Ethiopia Humanitarian Response Plan 2021,HETH21,1041,United Nations High Commissioner for Refugees,UN agency,,ETH,,,Ethiopia Tigray Complex Emergency,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-02-18,2021-02-18,,2000000,EUR,0.824,228115,,2021-02-19,2021-04-13
2021-02-03,2021,AId to victims of conflict in Somalia,1092233,"Finland, Government of",Government,FIN,2021,2021,Somalia Humanitarian Response Plan 2021,HSOM21,1011,Save the Children,NGO,,SOM,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-02-03,2021-02-03,,900000,EUR,0.824,227599,,2021-02-04,2021-02-04
2021-01-12,2021,Core funding to UNHCR,8588957,"Finland, Government of",Government,FIN,2021,2021,,,,United Nations High Commissioner for Refugees,UN agency,,,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-01-12,2021-01-12,,7000000,EUR,0.815,226541,,2021-01-13,2021-01-13
2021-01-11,2021,Core funding to UNRWA,6134969,"Finland, Government of",Government,FIN,2021,2021,,,,United Nations Relief and Works Agency for Palestine Refugees in the Near East,UN agency,,,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-01-11,2021-01-11,,5000000,EUR,0.815,226495,,2021-01-12,2021-01-12
