date,budgetYear,description,amountUSD,srcOrganization,srcOrganizationTypes,srcLocations,srcUsageYearStart,srcUsageYearEnd,destPlan,destPlanCode,destPlanId,destOrganization,destOrganizationTypes,destGlobalClusters,destLocations,destProject,destProjectCode,destEmergency,destUsageYearStart,destUsageYearEnd,contributionType,flowType,method,boundary,onBoundary,status,firstReportedDate,decisionDate,keywords,originalAmount,originalCurrency,exchangeRate,id,refCode,createdAt,updatedAt
#date,#date+year+budget,#description+notes,#value+funding+total+usd,#org+name+funder,#org+type+funder+list,#country+iso3+funder+list,#date+year+start+funder,#date+year+end+funder,#activity+appeal+name,#activity+appeal+id+external,#activity+appeal+id+fts_internal,#org+name+impl,#org+type+impl+list,#sector+cluster+name+list,#country+iso3+impl+list,#activity+project+name,#activity+project+code,#crisis+name,#date+year+start+impl,#date+year+end+impl,#financial+contribution+type,#financial+contribution+type,#financial+method,#financial+direction,#financial+direction+type,#status+text,#date+reported,#date+decision,#description+keywords,#value+funding+total,#value+funding+total+currency,#financial+fx,#activity+id+fts_internal,#activity+code,#date+created,#date+updated
2021-07-06,2021,Projet de soutien aux personnes déplacées retournées à Bangassou,620578,"France, Government of",Government,FRA,2021,2021,Central African Republic Humanitarian Response Plan 2021,HCAF21,1025,Mercy Corps,NGO,Health,CAF,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-07-06,2021-07-06,,520044,EUR,0.838,234878,,2021-07-07,2021-07-07
2021-07-06,2021,"Programme de redynamisation des structures de gouvernance locale pour la stabilisation et la relance économique dans la région de l’Extrême-Nord, Cameroun (PRESGRE)",596659,"France, Government of",Government,FRA,2021,2021,Cameroon Humanitarian Response Plan 2021,HCMR21,1030,Action Against Hunger,NGO,Early Recovery,CMR,"Strengthening the livelihoods and resilience capacities of internally displaced young women and men, affected by conflicts in the South-West region of Cameroon through the establishment of income-generating activities and psychosocial activities .",HCMR21-ERY;HEA-174733-1,,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-07-06,2021-07-06,,500000,EUR,0.838,234879,,2021-07-07,2021-07-07
2021-07-06,2021,Accès inclusif aux services essentiels au Venezuela,256563,"France, Government of",Government,FRA,2021,2021,Venezuela Humanitarian Response Plan 2021,HVEN21,1029,Humanity & Inclusion - Handicap International,NGO,Protection,VEN,Fortalecimiento de servicios de Protección y Salud Inclusiva para retornados y población en riesgo en Venezuela ,HVEN21-PRO-172263-1,,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-07-06,2021-07-06,,215000,EUR,0.838,234881,,2021-07-07,2021-07-07
2021-07-06,2021,Renforcement de la protection des populations (DIH),596659,"France, Government of",Government,FRA,2021,2021,,,,Geneva Call,NGO,Protection,YEM,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-07-06,2021-07-06,,500000,EUR,0.838,234882,,2021-07-07,2021-07-07
2021-06-29,,Unearmarked Unallocated Funds from France. OCT 8580 [OCT 8580];[SL/SECPOL N°2021-0152585],3658537,"France, Government of",Government,FRA,2021,2021,,,,Office for the Coordination of Humanitarian Affairs,UN agency,Coordination and support services,,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,paid,2021-07-01,2021-06-29,,3000000,EUR,0.837,234512,[OCT 8580];[SL/SECPOL N°2021-0152585],2021-07-08,2021-07-08
2021-06-29,,Pending distribution - OCHA activities Earmarked field  [OCT 8580];[SL/SECPOL N°2021-0152585],1219512,"France, Government of",Government,FRA,2021,2021,,,,Office for the Coordination of Humanitarian Affairs,UN agency,Coordination and support services,,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,paid,2021-07-01,2021-06-29,,1000000,EUR,0.837,234513,[OCT 8580];[SL/SECPOL N°2021-0152585],2021-07-08,2021-07-08
2021-06-29,,Syria OCHA Operation in Turkey. OCT 8580 [OCT 8580];[SL/SECPOL N°2021-0152585],1219512,"France, Government of",Government,FRA,2021,2021,Syria Refugee Response and Resilience Plan (3RP) 2021,RSYR21,1020,Office for the Coordination of Humanitarian Affairs,UN agency,,TUR,,,Syrian Arab Republic - Civil Unrest (from 2012),2021,2021,financial,Standard,Traditional aid,outgoing,single,paid,2021-07-01,2021-06-29,,1000000,EUR,0.837,234514,[OCT 8580];[SL/SECPOL N°2021-0152585],2021-07-08,2021-07-08
2021-06-29,,Pending distribution on CBPFs . OCT 8580,2439024,"France, Government of",Government,FRA,2021,2021,,,,,,Coordination and support services,,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,paid,2021-07-01,2021-06-29,,2000000,EUR,0.837,234515,OCT 8580,2021-07-08,2021-07-08
2021-06-29,,Syria Cross-border Humanitarian Fund (SCHF) . OCT 8580 [OCT 8580],4268293,"France, Government of",Government,FRA,2021,2021,Syria Humanitarian Response Plan 2021,HSYR21,1044,Syria Cross-border Humanitarian Fund,Pooled fund,,SYR,,,Syrian Arab Republic - Civil Unrest (from 2012),2021,2021,financial,Standard,Traditional aid,outgoing,single,paid,2021-07-01,2021-06-29,,3500000,EUR,0.837,234516,OCT 8580,2021-07-08,2021-07-08
2021-06-29,,Lebanon Humanitarian Fund (LHF) OCT 8580,609756,"France, Government of",Government,FRA,2021,2021,Syria Refugee Response and Resilience Plan (3RP) 2021,RSYR21,1020,Lebanon Humanitarian Fund,Pooled fund,,LBN,,,Syrian Arab Republic - Civil Unrest (from 2012),2021,2021,financial,Standard,Traditional aid,outgoing,single,paid,2021-07-01,2021-06-29,,500000,EUR,0.837,234518,OCT 8580,2021-07-08,2021-07-08
2021-06-29,,"Regionally-hosted Pooled Fund, Central and West Africa. OCT 8580 [OCT 8580]",1219512,"France, Government of",Government,FRA,2021,2021,,,,"Regionally-hosted Pooled Fund, Central and West Africa",Pooled fund,,SEN,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,paid,2021-07-01,2021-06-29,,1000000,EUR,0.837,234519,OCT 8580,2021-07-08,2021-07-08
2021-06-29,,Central Emergency Response Fund for 2021,3658536,"France, Government of",Government,FRA,2021,2021,,,,Central Emergency Response Fund,Pooled fund,,,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,paid,2021-07-01,2021-06-29,,3000000,EUR,0.82,234727,,2021-07-09,2021-07-09
2021-06-29,,Yemen Humanitarian Fund (YHF). CT 8580 [OCT 8580],1219512,"France, Government of",Government,FRA,2021,2021,Yemen Humanitarian Response Plan 2021,HYEM21,1024,Yemen Humanitarian Fund,Pooled fund,,YEM,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,paid,2021-07-08,2021-06-29,,1000000,EUR,0.82,234928,OCT 8580,2021-07-08,2021-07-08
2021-06-15,2021,Aide dans les domaines de l’eau et de l’hygiène ainsi que de la sécurité alimentaire au profit de familles fragilisées par les déplacements de population dans l’Etat du Rakhine.,365854,"France, Government of",Government,FRA,2021,2021,,,,Humanlife Initiative Organization,NGO,Protection - Mine Action,MMR,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-06-15,2021-06-15,Mine action,300000,EUR,0.82,233414,,2021-06-16,2021-06-16
2021-06-15,2021,Renforcer l'accès aux soins de santé de qualité dans la région d'Al Shahbaa,1017115,"France, Government of",Government,FRA,2021,2021,Syria Humanitarian Response Plan 2021,HSYR21,1044,Union des Organisations Syrienne de Secours Médicaux,NGO,Health,SYR,,,Syrian Arab Republic - Civil Unrest (from 2012),2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-06-15,2021-06-15,,834034,EUR,0.82,233415,,2021-06-16,2021-06-16
2021-06-15,2021,Assistance logistique d'urgence et renforcement des capacités des acteurs humanitaires opérant auprès des communautés extrêmement vulnérables dans le district de Cox's Bazar,304878,"France, Government of",Government,FRA,2021,2021,,,,Atlas Logistique,NGO,Coordination and support services,BGD,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-06-15,2021-06-15,,250000,EUR,0.82,233416,,2021-06-16,2021-06-16
2021-06-15,2021,"Soutien humanitaire, économique et médical aux populations d'Artsakh déplacées et réfugiées en Arménie",247665,"France, Government of",Government,FRA,2021,2021,,,,Union Générale Arménienne de Bienfaisance,NGO,Food Security,ARM,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-06-15,2021-06-15,,203085,EUR,0.82,233417,,2021-06-16,2021-06-16
2021-06-14,2021,logistique humanitaire par voie maritime et routière en HaÏti,304878,"France, Government of",Government,FRA,2021,2021,,,,Atlas Logistique,NGO,Coordination and support services,HTI,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-06-14,2021-06-14,,250000,EUR,0.82,233284,,2021-06-15,2021-06-16
2021-06-14,2021,Projet d'appui d'urgence à l'accès aux soins spécialisés et de qualité dans la Région de Tombouctou- Mali,268293,"France, Government of",Government,FRA,2021,2021,,,,Santé Mali Rhône Alpes,Private organization/foundation,Health,MLI,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-06-14,2021-06-14,,220000,EUR,0.82,233288,,2021-06-15,2021-06-16
2021-06-14,2021,Soutien à la réponse humanitaire au Mali par l'expansion de services logistiques mutualisés,634146,"France, Government of",Government,FRA,2021,2021,,,,Humanity & Inclusion - Handicap International,NGO,Logistics,MLI,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-06-14,2021-06-14,,520000,EUR,0.82,233289,,2021-06-15,2021-06-16
2021-06-14,2021,Réponse aux besoins urgents en santé des populations impactées par la crise et renforcement du système de santé primaire,341463,"France, Government of",Government,FRA,2021,2021,,,,Première Urgence Internationale,NGO,Health,NER,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-06-14,2021-06-14,,280000,EUR,0.82,233290,,2021-06-15,2021-06-16
2021-06-14,2021,Réponse d'urgence et intégrée aux besoins essentiels et vitaux en santé des populations affectées par la crise sécuritaire dans la région de l'est,402439,"France, Government of",Government,FRA,2021,2021,Burkina Faso Humanitarian Response Plan 2021,HBFA21,1037,Première Urgence Internationale,NGO,Health,BFA,Assistance en soins de santé primaire et secondaire pour les personnes affectées par la crise dans la région de l'Est du Burkina Faso ,HBFA21-10-172832-1,,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-06-14,2021-06-14,,330000,EUR,0.82,233291,,2021-06-15,2021-06-16
2021-06-14,2021,Amélioration de l’accès aux services santé et protection des populations déplacées et hôtes du district sanitaire (DS) de Djibo,609756,"France, Government of",Government,FRA,2021,2021,Burkina Faso Humanitarian Response Plan 2021,HBFA21,1037,International Rescue Committee,NGO,Health,BFA,Assistance sanitaire aux personnes vulnérables dans les zones en situation d’urgence au Burkina Faso,HBFA21-10-173008-1,,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-06-14,2021-06-14,,500000,EUR,0.82,233293,,2021-06-15,2021-06-16
2021-06-14,2021,programme  intégré eau-hygiène-assainissement dans le Sinjar,836561,"France, Government of",Government,FRA,2021,2021,,,,French Red Cross,Red Cross/Red Crescent,Water Sanitation Hygiene,IRQ,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-06-14,2021-06-14,,685980,EUR,0.82,233295,,2021-06-15,2021-06-16
2021-06-10,2021,Soutien aux centre de santé du gouvernorat de Ninive,731707,"France, Government of",Government,FRA,2021,2021,,,,French Red Cross,Red Cross/Red Crescent,Health,IRQ,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-06-10,2021-06-10,,600000,EUR,0.82,232956,,2021-06-11,2021-06-14
2021-06-10,2021,Continuation du soutien aux services de santé pour les personnes affectées par le conflit au Nord-est syrien,2804878,"France, Government of",Government,FRA,2021,2021,Syria Humanitarian Response Plan 2021,HSYR21,1044,International Medical Corps,NGO,Health,SYR,,,Syrian Arab Republic - Civil Unrest (from 2012),2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-06-10,2021-06-10,,2300000,EUR,0.82,232957,,2021-06-11,2021-06-14
2021-06-10,2021,Projet HERNES (Health Recovery in North East Syria),1219512,"France, Government of",Government,FRA,2021,2021,,,,Expertise France,Government,Health,SYR,,,Syrian Arab Republic - Civil Unrest (from 2012),2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-06-10,2021-06-10,,1000000,EUR,0.82,232959,,2021-06-11,2021-06-14
2021-06-10,2021,"Soutien à la communauté de réfugiés Rohingya pour accroître leur autonomie, promouvoir les conditions d'hygiène dans les camps 1E et 1W de Cox's Bazar",243902,"France, Government of",Government,FRA,2021,2021,Bangladesh: Rohingya Refugee Crisis Joint Response Plan 2021,RBGD21,1023,Agency for Technical Cooperation and Development,NGO,Health,BGD,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-06-10,2021-06-10,,200000,EUR,0.82,232961,,2021-06-11,2021-06-14
2021-06-09,2021,Appui aux systèmes agricoles dans le Sud libyen,433532,"France, Government of",Government,FRA,2021,2021,Libya Humanitarian Response Plan 2021,HLBY21,1027,World Food Programme,UN agency,Food Security,LBY,Food Assistance for Training,HLBY21-FSC-172498-1,,2021,2021,financial,Standard,Traditional aid,outgoing,single,paid,2021-06-09,2021-06-09,,369803,EUR,0.853,232897,10041070	No	CDCS TO LYBIA	FRA-C-00318-01	LY01.01.021,2021-07-01,2021-07-01
2021-06-09,2021,Soutien psychosocial (ligne téléphonique gratuite) d'écoute et de renseignement),347930,"France, Government of",Government,FRA,2021,2021,Libya Humanitarian Response Plan 2021,HLBY21,1027,United Nations Population Fund,UN agency,Health,LBY,Increase access to lifesaving sexual and reproductive health services to vulnerable population affected by Conflict and COVID19 pandemic in Libya.,HLBY21-HEA-173109-1,,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-06-14,2021-06-09,,285303,EUR,0.82,233283,,2021-06-15,2021-06-16
2021-06-09,,GAZA - Country Strategic Plan for food assistance to the poor and severely food insecure population in the West Bank and the Gaza Strip,609756,"France, Government of",Government,FRA,2021,2021,occupied Palestinian territory 2021,HPSE21,1012,World Food Programme,UN agency,Food Security,PSE,Country Strategic Plan for food assistance to the poor and severely food insecure population in the West Bank and the Gaza Strip,HPSE21-FSC-170961-1,,2021,2021,financial,Standard,Traditional aid,outgoing,single,paid,2021-06-27,2021-06-09,,,,,233912,10041376	No	2021-0279330	FRA-C-00320-01	PS01.01.011,2021-06-28,2021-06-28
2021-06-04,,Against Chad HRP,818,Private (individuals & organizations),Private organization/foundation,FRA,2021,2021,Chad Humanitarian Response Plan 2021,HTCD21,1028,United Nations High Commissioner for Refugees,UN agency,Multi-sector,TCD,Renforcer l’environnement de protection a travers la vulgarisation de la loi portant asile au Tchad ,HTCD21-9-175366-1,,2021,2021,financial,Standard,Traditional aid,outgoing,single,paid,2021-06-22,,,676,EUR,0.8264,234548,France Open Items 2021	E5052,2021-07-01,2021-07-01
