date,budgetYear,description,amountUSD,srcOrganization,srcOrganizationTypes,srcLocations,srcUsageYearStart,srcUsageYearEnd,destPlan,destPlanCode,destPlanId,destOrganization,destOrganizationTypes,destGlobalClusters,destLocations,destProject,destProjectCode,destEmergency,destUsageYearStart,destUsageYearEnd,contributionType,flowType,method,boundary,onBoundary,status,firstReportedDate,decisionDate,keywords,originalAmount,originalCurrency,exchangeRate,id,refCode,createdAt,updatedAt
#date,#date+year+budget,#description+notes,#value+funding+total+usd,#org+name+funder,#org+type+funder+list,#country+iso3+funder+list,#date+year+start+funder,#date+year+end+funder,#activity+appeal+name,#activity+appeal+id+external,#activity+appeal+id+fts_internal,#org+name+impl,#org+type+impl+list,#sector+cluster+name+list,#country+iso3+impl+list,#activity+project+name,#activity+project+code,#crisis+name,#date+year+start+impl,#date+year+end+impl,#financial+contribution+type,#financial+contribution+type,#financial+method,#financial+direction,#financial+direction+type,#status+text,#date+reported,#date+decision,#description+keywords,#value+funding+total,#value+funding+total+currency,#financial+fx,#activity+id+fts_internal,#activity+code,#date+created,#date+updated
2021-12-15,,Syria: Equitable basic WASH services for ALL (SM170622),4146919,"Germany, Government of",Government,DEU,2021,2021,,,,United Nations Children's Fund,UN agency,Water Sanitation Hygiene,SYR,,,Syrian Arab Republic - Civil Unrest (from 2012),2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2018-02-05,2021-12-15,,,,,170649,SM170622,2018-02-15,2018-02-15
2021-07-06,,"Niger, Regionally-hosted Pooled Fund. OCT 9689 [OCT 9689]",5966587,"Germany, Government of",Government,DEU,2021,2021,Niger Humanitarian Response Plan 2021,HNER21,1033,"Niger, Regionally-hosted Pooled Fund",Pooled fund,,NER,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-07-08,2021-07-06,,5000000,EUR,0.838,234930,OCT 9689,2021-07-10,2021-07-11
2021-07-06,,"Regionally-hosted Pooled Fund, Central and West Africa. OCT 9690 [OCT 9690]",1193317,"Germany, Government of",Government,DEU,2021,2021,,,,"Regionally-hosted Pooled Fund, Central and West Africa",Pooled fund,Coordination and support services,SEN,,,,2022,2022,financial,Standard,Traditional aid,outgoing,single,commitment,2021-07-08,2021-07-06,,1000000,EUR,0.838,234931,OCT 9690,2021-07-10,2021-07-11
2021-07-06,,"Regionally-hosted Pooled Fund, Central and West Africa. OCT 9691 [OCT 9691]",1193317,"Germany, Government of",Government,DEU,2021,2021,,,,"Regionally-hosted Pooled Fund, Central and West Africa",Pooled fund,Coordination and support services,SEN,,,,2023,2023,financial,Standard,Traditional aid,outgoing,single,commitment,2021-07-08,2021-07-06,,1000000,EUR,0.838,234932,OCT 9691,2021-07-10,2021-07-11
2021-07-06,,"Regionally-hosted Pooled Fund, Central and West Africa OCT 9692 [OCT 9692]",1193317,"Germany, Government of",Government,DEU,2021,2021,,,,"Regionally-hosted Pooled Fund, Central and West Africa",Pooled fund,Coordination and support services,SEN,,,,2024,2024,financial,Standard,Traditional aid,outgoing,single,commitment,2021-07-08,2021-07-06,,1000000,EUR,0.838,234933,OCT 9692,2021-07-10,2021-07-11
2021-07-05,2021,"Live-saving protection measures, health services and basic needs assistance (including CASH assistance) for people affected by the Venezuelan migration crisis with a special focus on children and women inside Venezuela and in border areas of Colombia and Ecuador",0,"Germany, Government of",Government,DEU,2021,2023,,,,International Rescue Committee,NGO,,"COL,ECU,VEN",,,,2021,2023,financial,Parked,Traditional aid,outgoing,shared,commitment,2021-07-05,2021-07-05,Multiyear,0,EUR,0.838,234771,AA-S09 321.50 VEN 06/21,2021-07-06,2021-07-06
2021-07-05,2021,"COLOMBIA - Live-saving protection measures, health services and basic needs assistance (including CASH assistance) for people affected by the Venezuelan migration crisis with a special focus on children and women inside Venezuela and in border areas of Colombia and Ecuador (2021 portion)",591802,"Germany, Government of",Government,DEU,2021,2021,Refugee and Migrant Response Plan for Venezuela 2021 (RMRP),RREG21,1021,International Rescue Committee,NGO,"Health,Protection,Protection - Child Protection,Protection - Gender-Based Violence",COL,,,VENEZUELA Outflow - Regional Refugees and Migrants,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-07-05,2021-07-05,Multiyear,495930,EUR,0.838,234772,AA-S09 321.50 VEN 06/21,2021-07-06,2021-07-06
2021-07-05,2021,"ECUADOR - Live-saving protection measures, health services and basic needs assistance (including CASH assistance) for people affected by the Venezuelan migration crisis with a special focus on children and women inside Venezuela and in border areas of Colombia and Ecuador (2021 portion)",65076,"Germany, Government of",Government,DEU,2021,2021,,,,International Rescue Committee,NGO,"Health,Protection - Child Protection,Protection - Gender-Based Violence",ECU,,,VENEZUELA Outflow - Regional Refugees and Migrants,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-07-05,2021-07-05,Multiyear,54534,EUR,0.838,234773,AA-S09 321.50 VEN 06/21,2021-07-06,2021-07-06
2021-07-05,2021,"VENEZUELA - Live-saving protection measures, health services and basic needs assistance (including CASH assistance) for people affected by the Venezuelan migration crisis with a special focus on children and women inside Venezuela and in border areas of Colombia and Ecuador (2021 portion)",435007,"Germany, Government of",Government,DEU,2021,2021,,,,International Rescue Committee,NGO,"Health,Protection - Child Protection,Protection - Gender-Based Violence",VEN,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-07-05,2021-07-05,Multiyear,364536,EUR,0.838,234774,AA-S09 321.50 VEN 06/21,2021-07-06,2021-07-06
