date,budgetYear,description,amountUSD,srcOrganization,srcOrganizationTypes,srcLocations,srcUsageYearStart,srcUsageYearEnd,destPlan,destPlanCode,destPlanId,destOrganization,destOrganizationTypes,destGlobalClusters,destLocations,destProject,destProjectCode,destEmergency,destUsageYearStart,destUsageYearEnd,contributionType,flowType,method,boundary,onBoundary,status,firstReportedDate,decisionDate,keywords,originalAmount,originalCurrency,exchangeRate,id,refCode,createdAt,updatedAt
#date,#date+year+budget,#description+notes,#value+funding+total+usd,#org+name+funder,#org+type+funder+list,#country+iso3+funder+list,#date+year+start+funder,#date+year+end+funder,#activity+appeal+name,#activity+appeal+id+external,#activity+appeal+id+fts_internal,#org+name+impl,#org+type+impl+list,#sector+cluster+name+list,#country+iso3+impl+list,#activity+project+name,#activity+project+code,#crisis+name,#date+year+start+impl,#date+year+end+impl,#financial+contribution+type,#financial+contribution+type,#financial+method,#financial+direction,#financial+direction+type,#status+text,#date+reported,#date+decision,#description+keywords,#value+funding+total,#value+funding+total+currency,#financial+fx,#activity+id+fts_internal,#activity+code,#date+created,#date+updated
2021-02-28,,Public Health Research Project in Greece,13606,"Switzerland, Government of",Government,CHE,2021,2021,,,,Berne University,Private organization/foundation,,GRC,,,,2021,2021,financial,Standard,Traditional aid,incoming,single,commitment,2021-03-04,,,12300,CHF,0.904,228589,,2021-03-08,2021-03-08
2021-02-28,,Greece: Moria Fire Emergency Flash Appeal	Cross-Sectoral (STATE/BPRM),200000,"United States of America, Government of",Government,USA,2021,2021,,,,United Nations Children's Fund,UN agency,,GRC,,,,2021,2021,financial,Standard,Traditional aid,incoming,single,paid,2021-03-05,2021-02-01,,,,,232437,SM200658  SPRMCO20VC0233,2021-06-01,2021-06-01
2021-02-01,,Thematic Humanitarian Funds for Cross Sectoral Activities -Greece Migrant Crisis,116635,"Netherlands, Government of",Government,NLD,2021,2021,,,,United Nations Children's Fund,UN agency,,GRC,,,,2021,2021,financial,Standard,Traditional aid,incoming,single,paid,2021-03-05,2021-02-01,,,,,232436,SM1899100883,2021-06-01,2021-06-01
2021-01-31,,Support to small scale infrastructure interventions in migrants camp (7F-07700.03.11),45045,"Switzerland, Government of",Government,CHE,2021,2021,,,,Swiss Development Cooperation/Swiss Humanitarian Aid,Government,Protection,GRC,,,,2021,2021,financial,Standard,Traditional aid,incoming,single,commitment,2021-02-10,,,40000,CHF,0.888,227893,7F-07700.03.11,2021-02-15,2021-02-15
2020-11-01,,Technical Advisor WASH for Ministry of Migration and Asylum of Hellenic Republic. Multi year 2020/2021 (Z7H314300139),0,"Switzerland, Government of",Government,CHE,2020,2020,,,,Swiss Development Cooperation/Swiss Humanitarian Aid,Government,,GRC,,,,2020,2021,financial,Parked,Traditional aid,incoming,shared,commitment,2020-12-03,2020-11-01,Multiyear,0,CHF,0.906,224646,Z7H314300139,2020-12-04,2020-12-04
2020-11-01,,"Technical Advisor WASH for Ministry of Migration and Asylum of Hellenic Republic. Multi year 2020/2021. 2021 portion total amount CHF197,160  (Z7H314300139)",217616,"Switzerland, Government of",Government,CHE,2020,2020,,,,Swiss Development Cooperation/Swiss Humanitarian Aid,Government,Coordination and support services,GRC,,,,2021,2021,financial,Standard,Traditional aid,incoming,single,commitment,2020-12-03,2020-11-01,Multiyear,197160,CHF,0.906,224648,Z7H314300139,2020-12-04,2020-12-04
2020-10-01,,COVID-19:Strengthening of Greek Health System. 2020/2021               (7F-10589.01),0,"Switzerland, Government of",Government,CHE,2020,2020,,,,Sham for Health Association,NGO,,GRC,,,Coronavirus disease Outbreak - COVID -19,2020,2021,financial,Parked,Traditional aid,incoming,shared,commitment,2020-11-06,2020-10-01,Multiyear,0,CHF,0.92,222829,7F-10589.01,2020-11-12,2020-11-12
2020-10-01,,COVID-19:Strengthening of Greek Health System. 2020/2021               2021 portion amount CHF 18'000 (7F-10589.01),19565,"Switzerland, Government of",Government,CHE,2020,2020,,,,Sham for Health Association,NGO,Health,GRC,,,Coronavirus disease Outbreak - COVID -19,2021,2021,financial,Standard,Traditional aid,incoming,single,commitment,2020-11-06,2020-10-01,Multiyear,18000,CHF,0.92,222834,7F-10589.01,2020-11-12,2020-11-12
2020-10-01,,COVID-19:Strengthening of Greek Health System. 2020/2021               (Z7FH14800030),0,"Switzerland, Government of",Government,CHE,2020,2020,,,,Sham for Health Association,NGO,,GRC,,,Coronavirus disease Outbreak - COVID -19,2020,2021,financial,Parked,Traditional aid,incoming,shared,commitment,2020-11-06,2020-10-01,Multiyear,0,CHF,0.92,222838,Z7FH14800030,2020-11-12,2020-11-12
