date,budgetYear,description,amountUSD,srcOrganization,srcOrganizationTypes,srcLocations,srcUsageYearStart,srcUsageYearEnd,destPlan,destPlanCode,destPlanId,destOrganization,destOrganizationTypes,destGlobalClusters,destLocations,destProject,destProjectCode,destEmergency,destUsageYearStart,destUsageYearEnd,contributionType,flowType,method,boundary,onBoundary,status,firstReportedDate,decisionDate,keywords,originalAmount,originalCurrency,exchangeRate,id,refCode,createdAt,updatedAt
#date,#date+year+budget,#description+notes,#value+funding+total+usd,#org+name+funder,#org+type+funder+list,#country+iso3+funder+list,#date+year+start+funder,#date+year+end+funder,#activity+appeal+name,#activity+appeal+id+external,#activity+appeal+id+fts_internal,#org+name+impl,#org+type+impl+list,#sector+cluster+name+list,#country+iso3+impl+list,#activity+project+name,#activity+project+code,#crisis+name,#date+year+start+impl,#date+year+end+impl,#financial+contribution+type,#financial+contribution+type,#financial+method,#financial+direction,#financial+direction+type,#status+text,#date+reported,#date+decision,#description+keywords,#value+funding+total,#value+funding+total+currency,#financial+fx,#activity+id+fts_internal,#activity+code,#date+created,#date+updated
2021-07-01,,Iraq Humanitarian Fund (IHF). OCT 9511 [OCT 9511],1219512,"Ireland, Government of",Government,IRL,2021,2021,Iraq Humanitarian Response Plan 2021,HIRQ21,1035,Iraq Humanitarian Fund,Pooled fund,,IRQ,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,paid,2021-06-26,2021-06-23,,1000000,EUR,0.82,233866,OCT 9511,2021-07-08,2021-07-08
2021-07-01,,Lebanon Humanitarian Fund (LHF). OCT 9516 [OCT 9516],1829268,"Ireland, Government of",Government,IRL,2021,2021,Syria Refugee Response and Resilience Plan (3RP) 2021,RSYR21,1020,Lebanon Humanitarian Fund,Pooled fund,,LBN,,,Syrian Arab Republic - Civil Unrest (from 2012),2021,2021,financial,Standard,Traditional aid,outgoing,single,paid,2021-06-30,2021-06-28,,1500000,EUR,0.82,234435,OCT 9516,2021-07-08,2021-07-08
2021-07-01,2021,To save lives and alleviate suffering.,238663,"Ireland, Government of",Government,IRL,2021,2021,Syria Humanitarian Response Plan 2021,HSYR21,1044,United Nations Humanitarian Air Service,UN agency,,SYR,,,Syrian Arab Republic - Civil Unrest (from 2012),2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-07-01,2021-07-01,,200000,EUR,0.838,234595,HQHUM/2021/WFP,2021-07-02,2021-07-02
2021-07-01,2021,Annual contribution to the 2021 running costs of the UN Humanitarian Response Depot Network,596659,"Ireland, Government of",Government,IRL,2021,2021,,,,United Nations Humanitarian Response Depot,UN agency,Coordination and support services,,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-07-06,2021-07-01,,500000,EUR,0.838,234877,UNHRD 2021,2021-07-07,2021-07-07
2021-06-30,2021,To support the COVID-19 emergency in Brazil,121951,"Ireland, Government of",Government,IRL,2021,2021,,,,International Federation of Red Cross and Red Crescent Societies,Red Cross/Red Crescent,Health,BRA,,,Coronavirus disease Outbreak - COVID -19,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-06-30,2021-06-30,,100000,EUR,0.82,234522,IFRC-21-01-Brazil,2021-07-07,2021-07-07
2021-06-30,2021,To support the response to La Soufriere volcanic eruption,243902,"Ireland, Government of",Government,IRL,2021,2021,,,,International Federation of Red Cross and Red Crescent Societies,Red Cross/Red Crescent,,VCT,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-07-06,2021-06-30,,200000,EUR,0.82,234875,IRFC-2102-StVincent&Grenadines,2021-07-07,2021-07-07
2021-06-24,2021,To save lives and alleviate suffering,1219512,"Ireland, Government of",Government,IRL,2021,2021,,,,International Federation of Red Cross and Red Crescent Societies,Red Cross/Red Crescent,,,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-06-30,2021-06-24,,1000000,EUR,0.82,234523,HQHUM/IFRC-21-03-DREF,2021-07-07,2021-07-07
2021-06-24,,Turkey: WORLD FOOD PROGRAMME (response plan for Basic Needs ),597372,"Ireland, Government of",Government,IRL,2021,2021,Syria Refugee Response and Resilience Plan (3RP) 2021,RSYR21,1020,World Food Programme,UN agency,Food Security,TUR,Turkey: WORLD FOOD PROGRAMME (response plan for Basic Needs ),RSYR21-FSC-182098-1,Syrian Arab Republic - Civil Unrest (from 2012),2021,2021,financial,Standard,Traditional aid,outgoing,single,paid,2021-06-24,2021-06-24,,,,,235315,10040485				TR02.08.012.CPA3,2021-07-12,2021-07-12
2021-06-10,,OCT 9510 [OCT 9510],6097561,"Ireland, Government of",Government,IRL,2021,2021,Yemen Humanitarian Response Plan 2021,HYEM21,1024,Yemen Humanitarian Fund,Pooled fund,,YEM,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-06-12,2021-06-10,,5000000,EUR,0.82,233061,OCT 9510,2021-06-12,2021-06-16
2021-05-31,,"oPt - OCHA Office. 
OCT 9519 [OCT 9519];[UN OCHA-oPt 21 01]",242131,"Ireland, Government of",Government,IRL,2021,2021,occupied Palestinian territory 2021,HPSE21,1012,Office for the Coordination of Humanitarian Affairs,UN agency,Coordination and support services,PSE,Strengthening Humanitarian Coordination and Advocacy in the occupied Palestinian territory,HPSE21-CSS-171847-1,,2021,2021,financial,Standard,Traditional aid,outgoing,single,paid,2021-05-26,2021-05-20,,200000,EUR,0.826,232192,[OCT 9519];[UN OCHA-oPt 21 01],2021-06-03,2021-06-14
2021-05-31,,"oPt Humanitarian Fund (oPt HF). 
OCT 9519 [OCT 9519]",363196,"Ireland, Government of",Government,IRL,2021,2021,occupied Palestinian territory 2021,HPSE21,1012,occupied Palestinian territory Humanitarian Fund,Pooled fund,,PSE,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,paid,2021-05-26,2021-05-20,,300000,EUR,0.826,232193,OCT 9519,2021-06-01,2021-06-14
2021-05-31,,"Nigeria, Humanitarian Fund (NHF). OCT 9518 [OCT 9518]",1210654,"Ireland, Government of",Government,IRL,2021,2021,Nigeria Humanitarian Response Plan 2021,HNGA21,1032,Nigeria Humanitarian Fund,Pooled fund,Coordination and support services,NGA,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,paid,2021-05-27,2021-05-25,,1000000,EUR,0.826,232214,OCT 9518,2021-06-03,2021-06-14
2021-05-19,2021,To save lives and alleviate suffering,181598,"Ireland, Government of",Government,IRL,2021,2021,Myanmar Humanitarian Response Plan 2021,HMMR21,1046,Trocaire,NGO,"Food Security,Protection,Protection - Child Protection,Protection - Gender-Based Violence,Protection - Mine Action,Water Sanitation Hygiene",MMR,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-05-19,2021-05-19,,150000,EUR,0.826,231936,Troc erf 2021,2021-06-29,2021-07-02
2021-05-17,,Ireland Contribution to Sudan Humanitarian Fund 2021,3638391,"Ireland, Government of",Government,IRL,2021,2021,Sudan Humanitarian Response Plan 2021,HSDN21,1014,Sudan Humanitarian Fund,Pooled fund,,SDN,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,paid,2021-06-08,2021-04-29,,3005311,EUR,0.826,232797,CHF/00134/HSD20/4-2021/7670,2021-06-08,2021-06-08
2021-05-17,,IRELAND TO CAR CHF APR21,3638391,"Ireland, Government of",Government,IRL,2021,2021,Central African Republic Humanitarian Response Plan 2021,HCAF21,1025,Central African Republic Humanitarian Fund,Pooled fund,,CAF,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,paid,2021-07-06,2021-05-17,,3005311,EUR,0.826,234852,MPTF 7672,2021-07-06,2021-07-06
2021-05-05,2020,IRELAND TO AFGHAN CHF APR21,605741,"Ireland, Government of",Government,IRL,2021,2021,Afghanistan Humanitarian Response Plan 2021,HAFG21,1031,Afghanistan Humanitarian Fund,Pooled fund,,AFG,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,paid,2021-07-06,2021-05-05,,500342,EUR,0.826,234842,MPTF 7667,2021-07-06,2021-07-06
2021-05-03,,"IRELAND TO DRC POOLED APR21
* 7664",2930832,"Ireland, Government of",Government,IRL,2021,2021,Democratic Republic of Congo Humanitarian Response Plan 2021,HCOD21,1026,Democratic Republic of the Congo Humanitarian Fund,Pooled fund,,COD,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,paid,2021-07-05,2021-05-03,,2500000,EUR,0.853,234757,7664,2021-07-05,2021-07-05
2021-04-30,,Syria Cross-border Humanitarian Fund (SCHF) . OCT 8708 [OCT 8708],2930832,"Ireland, Government of",Government,IRL,2021,2021,Syria Humanitarian Response Plan 2021,HSYR21,1044,Syria Cross-border Humanitarian Fund,Pooled fund,,SYR,,,Syrian Arab Republic - Civil Unrest (from 2012),2021,2021,financial,Standard,Traditional aid,outgoing,single,paid,2021-04-24,2021-04-22,,2500000,EUR,0.853,230783,OCT 8708,2021-05-06,2021-05-06
