date,budgetYear,description,amountUSD,srcOrganization,srcOrganizationTypes,srcLocations,srcUsageYearStart,srcUsageYearEnd,destPlan,destPlanCode,destPlanId,destOrganization,destOrganizationTypes,destGlobalClusters,destLocations,destProject,destProjectCode,destEmergency,destUsageYearStart,destUsageYearEnd,contributionType,flowType,method,boundary,onBoundary,status,firstReportedDate,decisionDate,keywords,originalAmount,originalCurrency,exchangeRate,id,refCode,createdAt,updatedAt
#date,#date+year+budget,#description+notes,#value+funding+total+usd,#org+name+funder,#org+type+funder+list,#country+iso3+funder+list,#date+year+start+funder,#date+year+end+funder,#activity+appeal+name,#activity+appeal+id+external,#activity+appeal+id+fts_internal,#org+name+impl,#org+type+impl+list,#sector+cluster+name+list,#country+iso3+impl+list,#activity+project+name,#activity+project+code,#crisis+name,#date+year+start+impl,#date+year+end+impl,#financial+contribution+type,#financial+contribution+type,#financial+method,#financial+direction,#financial+direction+type,#status+text,#date+reported,#date+decision,#description+keywords,#value+funding+total,#value+funding+total+currency,#financial+fx,#activity+id+fts_internal,#activity+code,#date+created,#date+updated
2021-06-29,,OCT 9743 [OCT 9743],1829268,"Italy, Government of",Government,ITA,2021,2021,Syria Refugee Response and Resilience Plan (3RP) 2021,RSYR21,1020,Syria Cross-border Humanitarian Fund,Pooled fund,,TUR,,,Syrian Arab Republic - Civil Unrest (from 2012),2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-07-01,2021-06-29,,1500000,EUR,0.82,234520,OCT 9743,2021-07-03,2021-07-05
2021-06-22,2021,Contribution to the EU trust fund Bekou,1219512,"Italy, Government of",Government,ITA,2021,2021,,,,European Union trust fund Bekou in CAR,Other,,CAF,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-07-02,2021-06-22,,1000000,EUR,0.82,234652,012054/01/2,2021-07-03,2021-07-05
2021-06-22,2021,Multilateral contribution to the affected population,121951,"Italy, Government of",Government,ITA,2021,2021,Madagascar's Grand Sud Flash Appeal 2021,FMDG21,1047,World Food Programme,UN agency,Food Security,MDG,Unconditional food assistance / unconditional cash transfers,FMDG21-FSC-175206-1,,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-07-02,2021-06-22,,100000,EUR,0.82,234656,,2021-07-03,2021-07-05
2021-06-18,,Against Chad HRP,12813,Private (individuals & organizations),Private organization/foundation,ITA,2021,2021,Chad Humanitarian Response Plan 2021,HTCD21,1028,United Nations High Commissioner for Refugees,UN agency,Multi-sector,TCD,Renforcer l’environnement de protection a travers la vulgarisation de la loi portant asile au Tchad ,HTCD21-9-175366-1,,2021,2021,financial,Standard,Traditional aid,outgoing,single,paid,2021-06-22,,,10550,EUR,0.8234,234549,Italy Open Items 2021	E5047,2021-07-01,2021-07-01
2021-06-15,,"The project supports vulnerable households in Rural Aleppo to carry out income generating activities in the agriculture and poultry fields, with the aim of guaranteeing their food security and the fulfillment of their basic needs.",1213432,"Italy, Government of",Government,ITA,2021,2021,,,,Associazione Volontari per il Servizio Internazionale,NGO,Food Security,SYR,,,Syrian Arab Republic - Civil Unrest (from 2012),2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-06-23,2021-03-29,AICS,995014,EUR,0.82,235234,,2021-07-12,2021-07-12
2021-06-14,,Nutrition,586166,"Italy, Government of",Government,ITA,2021,2021,Ethiopia Humanitarian Response Plan 2021,HETH21,1041,World Food Programme,UN agency,Nutrition,ETH,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,paid,2021-06-11,2021-06-14,,,,,233261,10041017	No	NV 607 DEL 15.04.2021	ITA-C-00290-01	ET02.01.011.NTA1,2021-06-14,2021-06-14
2021-06-08,2021,Multilateral contribution to the WFP for the management of the United Nations Humanitarian Response Depot (UNHRD) located in Brindisi (Italy),3214385,"Italy, Government of",Government,ITA,2021,2021,,,,World Food Programme,UN agency,Logistics,,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-07-02,2021-06-08,,2635796,EUR,0.82,234653,011102/04/4,2021-07-03,2021-07-05
2021-06-08,2021,Multilateral contribution to the affected population,1097561,"Italy, Government of",Government,ITA,2021,2021,,,,International Federation of Red Cross and Red Crescent Societies,Red Cross/Red Crescent,,VEN,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-07-02,2021-06-08,,900000,EUR,0.82,234654,,2021-07-03,2021-07-05
2021-06-08,2021,Multilateral contribution to the affected population,121951,"Italy, Government of",Government,ITA,2021,2021,,,,World Food Programme,UN agency,,VCT,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-07-02,2021-06-08,,100000,EUR,0.82,234655,,2021-07-03,2021-07-05
2021-03-31,2021,Multilateral contribution to the affected population.,119474,"Italy, Government of",Government,ITA,2021,2021,Bangladesh: Rohingya Refugee Crisis Joint Response Plan 2021,RBGD21,1023,United Nations High Commissioner for Refugees,UN agency,Protection,BGD,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-04-29,2021-03-31,,100000,EUR,0.837,231053,,2021-04-29,2021-05-06
2021-03-30,,Italy Open Items 2021,33428,Private (individuals & organizations),Private organization/foundation,ITA,2021,2021,Syria Refugee Response and Resilience Plan (3RP) 2021,RSYR21,1020,United Nations High Commissioner for Refugees,UN agency,,"EGY,IRQ,JOR,LBN,TUR",,,Syrian Arab Republic - Civil Unrest (from 2012),2021,2021,financial,Standard,Traditional aid,outgoing,shared,paid,2021-04-09,2021-03-30,,27979,EUR,0.837,232104,E5047,2021-05-24,2021-05-24
2021-03-15,,"Monitoring, evaluation and rationalization of water use for Agriculture Sector in Libya",991637,"Italy, Government of",Government,ITA,2021,2021,Libya Humanitarian Response Plan 2021,HLBY21,1027,Food & Agriculture Organization of the United Nations,UN agency,Food Security,LBY,Joint Assessment on the Food Security Situation in Libya,HLBY21-FSC-172907-1,,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-03-30,2021-03-15,,830000,EUR,0.837,229396,OSRO/LIB/002/ITA,2021-03-31,2021-04-07
2021-03-14,,Italy Open Items 2021,19475,Private (individuals & organizations),Private organization/foundation,ITA,2021,2021,Syria Refugee Response and Resilience Plan (3RP) 2021,RSYR21,1020,United Nations High Commissioner for Refugees,UN agency,,"EGY,IRQ,JOR,LBN,TUR",,,Syrian Arab Republic - Civil Unrest (from 2012),2021,2021,financial,Standard,Traditional aid,outgoing,shared,paid,2021-04-09,2021-03-14,,15911,EUR,0.817,232106,E5047,2021-05-24,2021-05-24
2021-03-01,,Central Emergency Response Fund for 2021,6053268,"Italy, Government of",Government,ITA,2021,2021,,,,Central Emergency Response Fund,Pooled fund,,,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,pledge,2021-05-06,2021-03-01,,5000000,EUR,0.826,231502,,2021-05-07,2021-05-07
2021-02-27,,Italy Open Items 2021,20820,Private (individuals & organizations),Private organization/foundation,ITA,2021,2021,Syria Refugee Response and Resilience Plan (3RP) 2021,RSYR21,1020,United Nations High Commissioner for Refugees,UN agency,,"EGY,IRQ,JOR,LBN,TUR",,,Syrian Arab Republic - Civil Unrest (from 2012),2021,2021,financial,Standard,Traditional aid,outgoing,shared,paid,2021-04-09,2021-02-27,,17156,EUR,0.824,232105,E5047,2021-05-24,2021-05-24
2021-02-19,2021,"Humanitarian flight: Italian Development cooperation has dispatched - through the United Nations Humanitarian Response Depot of Brindisi - humanitarian goods (plastic rolls, generators, tents, squatting plates-latrines mosquito nets, solar lanterns, jerry cans, emergency shelter tool kits and 1 inflatable boat) to assist affected population (In kind)",202670,"Italy, Government of",Government,ITA,2021,2021,,,,United Nations Humanitarian Response Depot,UN agency,Emergency Shelter and NFI,SSD,,,,2021,2021,in kind,Standard,Traditional aid,outgoing,single,commitment,2021-03-30,2021-02-19,,167000,EUR,0.824,229390,,2021-03-31,2021-04-01
2021-02-02,2021,Humanitarian flight: Dispatch - through the United Nations Humanitarian Response Depot of Brindisi - of health and hygiene kits to assist affected population,177184,"Italy, Government of",Government,ITA,2021,2021,,,,United Nations Humanitarian Response Depot,UN agency,"Health,Water Sanitation Hygiene",ETH,,,Ethiopia Tigray Complex Emergency,2021,2021,in kind,Standard,Traditional aid,outgoing,single,commitment,2021-05-06,2021-02-02,,146000,EUR,0.824,231473,,2021-06-29,2021-07-05
2021-02-01,,Enhancing the National Laboratory Diagnostic Capacity for Timely Confirmation of COVID-19 at National Level and Sub-National Level – Syrian Arab Republic,1000000,"Italy, Government of",Government,ITA,2021,2021,Syria Humanitarian Response Plan 2021,HSYR21,1044,World Health Organization,UN agency,Health,SYR,,,Multiple,2021,2021,financial,Standard,Traditional aid,outgoing,single,paid,2021-03-30,2021-02-01,,,,,229761,Award No: 71544   WHE/COVID19 SYRIA,2021-04-12,2021-04-12
2021-01-31,,Italy Open Items 2021,11889,Private (individuals & organizations),Private organization/foundation,ITA,2021,2021,Syria Refugee Response and Resilience Plan (3RP) 2021,RSYR21,1020,United Nations High Commissioner for Refugees,UN agency,,"EGY,IRQ,JOR,LBN,TUR",,,Syrian Arab Republic - Civil Unrest (from 2012),2021,2021,financial,Standard,Traditional aid,outgoing,shared,paid,2021-04-09,2021-01-31,,9772,EUR,0.8219,232107,E5047,2021-05-24,2021-05-24
2021-01-29,2021,Humanitarian transport: Dispatch - through the United Nations Humanitarian Response Depot of Brindisi - of health kits and 1.000.000 of protective masks to assist affected population.,51582,"Italy, Government of",Government,ITA,2021,2021,,,,United Nations Humanitarian Response Depot,UN agency,Emergency Shelter and NFI,LBY,,,,2021,2021,in kind,Standard,Traditional aid,outgoing,single,commitment,2021-05-06,2021-01-29,,42400,EUR,0.822,231474,,2021-06-29,2021-07-05
2021-01-14,,Italy Open Items 2021,6329,Private (individuals & organizations),Private organization/foundation,ITA,2021,2021,Syria Refugee Response and Resilience Plan (3RP) 2021,RSYR21,1020,United Nations High Commissioner for Refugees,UN agency,,"EGY,IRQ,JOR,LBN,TUR",,,Syrian Arab Republic - Civil Unrest (from 2012),2021,2021,financial,Standard,Traditional aid,outgoing,shared,paid,2021-04-09,2021-01-14,,5157,EUR,0.8148,232110,E5047,2021-05-24,2021-05-24
2021-01-13,,Thematic Humanitarian Funds for Cross Sectoral Activities - Venezuela,148907,UNICEF National Committee/Italy,Private organization/foundation,ITA,2021,2021,Venezuela Humanitarian Response Plan 2021,HVEN21,1029,United Nations Children's Fund,UN agency,Multi-sector,VEN,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,paid,2021-03-01,2021-01-13,,121359,EUR,0.815,233410,SM1899100934 & THEMATIC HUMANITARIAN,2021-06-15,2021-06-15
2020-01-08,,GITA24 - RDPP - Phase IV,376738,"Italy, Government of",Government,ITA,2021,2021,Libya Humanitarian Response Plan 2021,HLBY21,1027,United Nations High Commissioner for Refugees,UN agency,Protection,LBY,UNHCR Multi-Sectoral Project in Libya,HLBY21-HEA;PRO;SHL;MS-172795-1,,2021,2021,financial,Standard,Traditional aid,outgoing,single,paid,2021-06-22,2020-01-08,,337558,EUR,0.896,235115,GITA24 - RDPP - Phase IV	D0055,2021-07-10,2021-07-10
2020-01-08,,GITA24 - RDPP - Phase IV,87906,"Italy, Government of",Government,ITA,2021,2021,Libya Humanitarian Response Plan 2021,HLBY21,1027,United Nations High Commissioner for Refugees,UN agency,Health,LBY,UNHCR Multi-Sectoral Project in Libya,HLBY21-HEA;PRO;SHL;MS-172795-1,,2021,2021,financial,Standard,Traditional aid,outgoing,single,paid,2021-06-22,2020-01-08,,78763,EUR,0.896,235116,GITA24 - RDPP - Phase IV	D0055,2021-07-10,2021-07-10
2020-01-08,,GITA24 - RDPP - Phase IV,60534,"Italy, Government of",Government,ITA,2021,2021,Libya Humanitarian Response Plan 2021,HLBY21,1027,United Nations High Commissioner for Refugees,UN agency,Emergency Shelter and NFI,LBY,UNHCR Multi-Sectoral Project in Libya,HLBY21-HEA;PRO;SHL;MS-172795-1,,2021,2021,financial,Standard,Traditional aid,outgoing,single,paid,2021-06-22,2020-01-08,,54238,EUR,0.896,235117,GITA24 - RDPP - Phase IV	D0055,2021-07-10,2021-07-10
2020-01-08,,GITA24 - RDPP - Phase IV,88662,"Italy, Government of",Government,ITA,2021,2021,Libya Humanitarian Response Plan 2021,HLBY21,1027,United Nations High Commissioner for Refugees,UN agency,Multi-sector,LBY,UNHCR Multi-Sectoral Project in Libya,HLBY21-HEA;PRO;SHL;MS-172795-1,,2021,2021,financial,Standard,Traditional aid,outgoing,single,paid,2021-06-22,2020-01-08,,79441,EUR,0.896,235118,GITA24 - RDPP - Phase IV	D0055,2021-07-10,2021-07-10
