date,budgetYear,description,amountUSD,srcOrganization,srcOrganizationTypes,srcLocations,srcUsageYearStart,srcUsageYearEnd,destPlan,destPlanCode,destPlanId,destOrganization,destOrganizationTypes,destGlobalClusters,destLocations,destProject,destProjectCode,destEmergency,destUsageYearStart,destUsageYearEnd,contributionType,flowType,method,boundary,onBoundary,status,firstReportedDate,decisionDate,keywords,originalAmount,originalCurrency,exchangeRate,id,refCode,createdAt,updatedAt
#date,#date+year+budget,#description+notes,#value+funding+total+usd,#org+name+funder,#org+type+funder+list,#country+iso3+funder+list,#date+year+start+funder,#date+year+end+funder,#activity+appeal+name,#activity+appeal+id+external,#activity+appeal+id+fts_internal,#org+name+impl,#org+type+impl+list,#sector+cluster+name+list,#country+iso3+impl+list,#activity+project+name,#activity+project+code,#crisis+name,#date+year+start+impl,#date+year+end+impl,#financial+contribution+type,#financial+contribution+type,#financial+method,#financial+direction,#financial+direction+type,#status+text,#date+reported,#date+decision,#description+keywords,#value+funding+total,#value+funding+total+currency,#financial+fx,#activity+id+fts_internal,#activity+code,#date+created,#date+updated
2021-07-02,,Syria Humanitarian Fund (SHF)  [OCT 8718],417661,"Luxembourg, Government of",Government,LUX,2021,2021,Syria Humanitarian Response Plan 2021,HSYR21,1044,Syrian Arab Republic Humanitarian Fund,Pooled fund,,SYR,,,Syrian Arab Republic - Civil Unrest (from 2012),2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-07-09,2021-07-02,,350000,EUR,0.838,234992,OCT 8718,2021-07-09,2021-07-09
2021-07-02,,Myanmar Humanitarian Fund (MHF). [OCT 8718],417661,"Luxembourg, Government of",Government,LUX,2021,2021,,,,Myanmar Humanitarian Fund,Pooled fund,,MMR,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-07-09,2021-07-02,,350000,EUR,0.838,234993,OCT 8718,2021-07-09,2021-07-09
2021-07-02,,"Nigeria, Humanitarian Fund (NHF) [OCT 8718]",119332,"Luxembourg, Government of",Government,LUX,2021,2021,Nigeria Humanitarian Response Plan 2021,HNGA21,1032,Nigeria Humanitarian Fund,Pooled fund,,NGA,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-07-09,2021-07-02,,100000,EUR,0.838,234994,OCT 8718,2021-07-09,2021-07-09
2021-07-02,,Yemen Humanitarian Fund (YHF).  [OCT 8718],417661,"Luxembourg, Government of",Government,LUX,2021,2021,Yemen Humanitarian Response Plan 2021,HYEM21,1024,Yemen Humanitarian Fund,Pooled fund,,YEM,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-07-09,2021-07-02,,350000,EUR,0.838,234995,OCT 8718,2021-07-09,2021-07-09
2021-07-02,,Iraq Humanitarian Fund (IHF). [OCT 8718],357995,"Luxembourg, Government of",Government,LUX,2021,2021,Iraq Humanitarian Response Plan 2021,HIRQ21,1035,Iraq Humanitarian Fund,Pooled fund,,IRQ,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-07-09,2021-07-02,,300000,EUR,0.838,234996,OCT 8718,2021-07-09,2021-07-09
2021-07-02,,Ukraine Humanitarian Fund (UHF). OCT 8718 [OCT 8718],417661,"Luxembourg, Government of",Government,LUX,2021,2021,Ukraine Humanitarian Response Plan 2021,HUKR21,1015,Ukraine Humanitarian Fund,Pooled fund,,UKR,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-07-09,2021-07-02,,350000,EUR,0.838,234997,OCT 8718,2021-07-09,2021-07-09
2021-07-02,,Pending distribution -Regionally-hosted Pooled Fund. OCT 8718 [OCT 8718],417661,"Luxembourg, Government of",Government,LUX,2021,2021,,,,,,Coordination and support services,,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-07-09,2021-07-02,,350000,EUR,0.838,234998,OCT 8718,2021-07-09,2021-07-09
2021-06-10,,Unearmarked Unallocated Funds from Luxembourg.  [OCT 8579];[PARTNERSHIP AGREEMENT 2017-2020/2021],937866,"Luxembourg, Government of",Government,LUX,2021,2021,,,,Office for the Coordination of Humanitarian Affairs,UN agency,Coordination and support services,,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,paid,2021-04-30,2021-04-28,,800000,EUR,0.853,231120,[OCT 8579];[PARTNERSHIP AGREEMENT 2017-2020/2021],2021-07-03,2021-07-05
2021-06-10,,OCT 8579 [OCT 8579];[PARTNERSHIP AGREEMENT 2017-2020/2021],117233,"Luxembourg, Government of",Government,LUX,2021,2021,Mali Humanitarian Response Plan 2021,HMLI21,1036,Office for the Coordination of Humanitarian Affairs,UN agency,Coordination and support services,MLI,Renforcement des mécanismes de coordination et de plaidoyer pour la protection humanitaire et l’assistance aux populations les plus vulnérables au Mali.,HMLI21-CSS-174224-1,,2021,2021,financial,Standard,Traditional aid,outgoing,single,paid,2021-07-03,2021-04-28,,100000,EUR,0.82,234644,[OCT 8579];[PARTNERSHIP AGREEMENT 2017-2020/2021],2021-07-06,2021-07-06
2021-06-08,,OCT 9715 [OCT 9715];[-],975610,"Luxembourg, Government of",Government,LUX,2021,2021,,,,Office for the Coordination of Humanitarian Affairs,UN agency,Coordination and support services,,,,,2022,2022,financial,Standard,Traditional aid,outgoing,single,commitment,2021-06-24,2021-06-08,,800000,EUR,0.82,233786,[OCT 9715];[-],2021-06-30,2021-06-30
2021-06-08,,OCT 9716 [OCT 9716];[-],975610,"Luxembourg, Government of",Government,LUX,2021,2021,,,,Office for the Coordination of Humanitarian Affairs,UN agency,Coordination and support services,,,,,2023,2023,financial,Standard,Traditional aid,outgoing,single,commitment,2021-06-24,2021-06-08,,800000,EUR,0.82,233787,[OCT 9716];[-],2021-06-30,2021-06-30
2021-06-08,,OCT 9718 [OCT 9718];[-],975610,"Luxembourg, Government of",Government,LUX,2021,2021,,,,Office for the Coordination of Humanitarian Affairs,UN agency,Coordination and support services,,,,,2025,2025,financial,Standard,Traditional aid,outgoing,single,commitment,2021-06-24,2021-06-08,,800000,EUR,0.82,233788,[OCT 9718];[-],2021-06-30,2021-06-30
2021-06-08,,OCT 9717 [OCT 9717];[-],975610,"Luxembourg, Government of",Government,LUX,2021,2021,,,,Office for the Coordination of Humanitarian Affairs,UN agency,Coordination and support services,,,,,2024,2024,financial,Standard,Traditional aid,outgoing,single,commitment,2021-06-24,2021-06-08,,800000,EUR,0.82,233789,[OCT 9717];[-],2021-06-30,2021-06-30
2021-06-08,,OCT 9717 [OCT 9717];[-],121951,"Luxembourg, Government of",Government,LUX,2021,2021,,,,Office for the Coordination of Humanitarian Affairs,UN agency,Coordination and support services,,,,,2024,2024,financial,Standard,Traditional aid,outgoing,single,commitment,2021-06-24,2021-06-08,,100000,EUR,0.82,233790,[OCT 9717];[-],2021-06-30,2021-06-30
