date,budgetYear,description,amountUSD,srcOrganization,srcOrganizationTypes,srcLocations,srcUsageYearStart,srcUsageYearEnd,destPlan,destPlanCode,destPlanId,destOrganization,destOrganizationTypes,destGlobalClusters,destLocations,destProject,destProjectCode,destEmergency,destUsageYearStart,destUsageYearEnd,contributionType,flowType,method,boundary,onBoundary,status,firstReportedDate,decisionDate,keywords,originalAmount,originalCurrency,exchangeRate,id,refCode,createdAt,updatedAt
#date,#date+year+budget,#description+notes,#value+funding+total+usd,#org+name+funder,#org+type+funder+list,#country+iso3+funder+list,#date+year+start+funder,#date+year+end+funder,#activity+appeal+name,#activity+appeal+id+external,#activity+appeal+id+fts_internal,#org+name+impl,#org+type+impl+list,#sector+cluster+name+list,#country+iso3+impl+list,#activity+project+name,#activity+project+code,#crisis+name,#date+year+start+impl,#date+year+end+impl,#financial+contribution+type,#financial+contribution+type,#financial+method,#financial+direction,#financial+direction+type,#status+text,#date+reported,#date+decision,#description+keywords,#value+funding+total,#value+funding+total+currency,#financial+fx,#activity+id+fts_internal,#activity+code,#date+created,#date+updated
2021-05-07,,"Seguridad Alimentaria 
TF canada/ Canadian food grains bank",35411,Tearfund Netherlands,NGO,NLD,2021,2021,Refugee and Migrant Response Plan for Venezuela 2021 (RMRP),RREG21,1021,Tearfund,NGO,Nutrition,COL,Colombia: Tearfund - Nutrition,RREG21-NUT-180239-1,VENEZUELA Outflow - Regional Refugees and Migrants,2021,2021,financial,Standard,Traditional aid,outgoing,single,paid,2021-05-19,2021-05-07,,25000,GBP,0.706,232460,,2021-06-01,2021-06-24
2021-04-27,,Netherlands Contribution to Sudan Humanitarian Fund 2021,7247790,"Netherlands, Government of",Government,NLD,2021,2021,Sudan Humanitarian Response Plan 2021,HSDN21,1014,Sudan Humanitarian Fund,Pooled fund,,SDN,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,paid,2021-06-08,2021-04-20,,6182365,EUR,0.853,232796,CHF/00182/HSD20/4-2021/7648,2021-06-08,2021-06-08
2021-04-23,,Syria Humanitarian Fund (SHF). OCT 8650 [OCT 8650],4689332,"Netherlands, Government of",Government,NLD,2021,2021,Syria Humanitarian Response Plan 2021,HSYR21,1044,Syrian Arab Republic Humanitarian Fund,Pooled fund,,SYR,,,Syrian Arab Republic - Civil Unrest (from 2012),2021,2021,financial,Standard,Traditional aid,outgoing,single,paid,2021-04-23,2021-04-21,,4000000,EUR,0.853,230669,OCT 8650,2021-04-29,2021-04-29
2021-04-23,,Syria Cross-border Humanitarian Fund (SCHF). OCT 8650 [OCT 8650],10550996,"Netherlands, Government of",Government,NLD,2021,2021,Syria Humanitarian Response Plan 2021,HSYR21,1044,Syria Cross-border Humanitarian Fund,Pooled fund,,SYR,,,Syrian Arab Republic - Civil Unrest (from 2012),2021,2021,financial,Standard,Traditional aid,outgoing,single,paid,2021-04-23,2021-04-21,,9000000,EUR,0.853,230670,OCT 8650,2021-04-29,2021-04-30
2021-04-23,,OCT 8650 [OCT 8650],14067995,"Netherlands, Government of",Government,NLD,2021,2021,Yemen Humanitarian Response Plan 2021,HYEM21,1024,Yemen Humanitarian Fund,Pooled fund,,YEM,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,paid,2021-04-29,2021-04-21,,12000000,EUR,0.853,231019,OCT 8650,2021-04-29,2021-05-28
2021-04-23,,NETHERLANDS - DRC POOLED APR21,7033998,"Netherlands, Government of",Government,NLD,2021,2021,Democratic Republic of Congo Humanitarian Response Plan 2021,HCOD21,1026,Democratic Republic of the Congo Humanitarian Fund,Pooled fund,,COD,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,paid,2021-07-05,2021-04-23,,6000000,EUR,0.853,234755,Contribution Group ID 	7648,2021-07-05,2021-07-05
2021-02-28,,Netherlands Open Items 2021,30,Private (individuals & organizations),Private organization/foundation,NLD,2021,2021,Syria Refugee Response and Resilience Plan (3RP) 2021,RSYR21,1020,United Nations High Commissioner for Refugees,UN agency,,"EGY,IRQ,JOR,LBN,TUR",,,Syrian Arab Republic - Civil Unrest (from 2012),2021,2021,financial,Standard,Traditional aid,outgoing,shared,paid,2021-04-09,2021-02-28,,25,EUR,0.8333,232125,E5051,2021-05-24,2021-05-24
2021-02-01,,Thematic Humanitarian Funds for Cross Sectoral Activities -Greece Migrant Crisis,116635,"Netherlands, Government of",Government,NLD,2021,2021,,,,United Nations Children's Fund,UN agency,,GRC,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,paid,2021-03-05,2021-02-01,,,,,232436,SM1899100883,2021-06-01,2021-06-01
2021-01-31,,Netherlands Open Items 2021,61,Private (individuals & organizations),Private organization/foundation,NLD,2021,2021,Syria Refugee Response and Resilience Plan (3RP) 2021,RSYR21,1020,United Nations High Commissioner for Refugees,UN agency,,"EGY,IRQ,JOR,LBN,TUR",,,Syrian Arab Republic - Civil Unrest (from 2012),2021,2021,financial,Standard,Traditional aid,outgoing,shared,paid,2021-04-09,2021-01-31,,50,EUR,0.8197,232124,E5051,2021-05-24,2021-05-24
