date,budgetYear,description,amountUSD,srcOrganization,srcOrganizationTypes,srcLocations,srcUsageYearStart,srcUsageYearEnd,destPlan,destPlanCode,destPlanId,destOrganization,destOrganizationTypes,destGlobalClusters,destLocations,destProject,destProjectCode,destEmergency,destUsageYearStart,destUsageYearEnd,contributionType,flowType,method,boundary,onBoundary,status,firstReportedDate,decisionDate,keywords,originalAmount,originalCurrency,exchangeRate,id,refCode,createdAt,updatedAt
#date,#date+year+budget,#description+notes,#value+funding+total+usd,#org+name+funder,#org+type+funder+list,#country+iso3+funder+list,#date+year+start+funder,#date+year+end+funder,#activity+appeal+name,#activity+appeal+id+external,#activity+appeal+id+fts_internal,#org+name+impl,#org+type+impl+list,#sector+cluster+name+list,#country+iso3+impl+list,#activity+project+name,#activity+project+code,#crisis+name,#date+year+start+impl,#date+year+end+impl,#financial+contribution+type,#financial+contribution+type,#financial+method,#financial+direction,#financial+direction+type,#status+text,#date+reported,#date+decision,#description+keywords,#value+funding+total,#value+funding+total+currency,#financial+fx,#activity+id+fts_internal,#activity+code,#date+created,#date+updated
2021-06-14,,Outside HRP,117233,Private (individuals & organizations),Private organization/foundation,ESP,2021,2021,,,,United Nations High Commissioner for Refugees,UN agency,Multi-sector,NGA,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,paid,2021-06-22,2021-04-30,,100000,EUR,0.853,235311,E5123,2021-07-12,2021-07-12
2021-06-01,,Against Chad HRP,54877,Private (individuals & organizations),Private organization/foundation,ESP,2021,2021,Chad Humanitarian Response Plan 2021,HTCD21,1028,United Nations High Commissioner for Refugees,UN agency,Multi-sector,TCD,Renforcer l’environnement de protection a travers la vulgarisation de la loi portant asile au Tchad ,HTCD21-9-175366-1,,2021,2021,financial,Standard,Traditional aid,outgoing,single,paid,2021-06-22,2021-05-31,,45328,EUR,0.826,234551,E5063,2021-07-01,2021-07-01
2021-06-01,,Against Chad HRP,7064,Private (individuals & organizations),Private organization/foundation,ESP,2021,2021,Chad Humanitarian Response Plan 2021,HTCD21,1028,United Nations High Commissioner for Refugees,UN agency,Protection - Gender-Based Violence,TCD,Renforcement de capacités et réduction des risques des VBG pour les PDI de Bagasola ,HTCD21-PRO-175356-1,,2021,2021,financial,Standard,Traditional aid,outgoing,single,paid,2021-06-22,2021-05-31,,5835,EUR,0.826,234552,E5063,2021-07-01,2021-07-01
2021-06-01,,Against Chad HRP,7064,Private (individuals & organizations),Private organization/foundation,ESP,2021,2021,Chad Humanitarian Response Plan 2021,HTCD21,1028,United Nations High Commissioner for Refugees,UN agency,Protection - Gender-Based Violence,TCD,Renforcement de capacités et réduction des risques des VBG pour les PDI de Bagasola ,HTCD21-PRO-175356-1,,2021,2021,financial,Standard,Traditional aid,outgoing,single,paid,2021-06-22,2021-03-31,,5913,EUR,0.837,234553,E5063,2021-07-01,2021-07-01
2021-06-01,,Against Chad HRP,18221,Private (individuals & organizations),Private organization/foundation,ESP,2021,2021,Chad Humanitarian Response Plan 2021,HTCD21,1028,United Nations High Commissioner for Refugees,UN agency,Multi-sector,TCD,Renforcer l’environnement de protection a travers la vulgarisation de la loi portant asile au Tchad ,HTCD21-9-175366-1,,2021,2021,financial,Standard,Traditional aid,outgoing,single,paid,2021-06-22,2021-03-31,,15251,EUR,0.837,234554,E5063,2021-07-01,2021-07-01
2021-06-01,,Against Chad HRP,5552,Private (individuals & organizations),Private organization/foundation,ESP,2021,2021,Chad Humanitarian Response Plan 2021,HTCD21,1028,United Nations High Commissioner for Refugees,UN agency,Multi-sector,TCD,Renforcer l’environnement de protection a travers la vulgarisation de la loi portant asile au Tchad ,HTCD21-9-175366-1,,2021,2021,financial,Standard,Traditional aid,outgoing,single,paid,2021-06-22,2021-05-31,,4586,EUR,0.826,234555,E5142,2021-07-01,2021-07-01
2021-06-01,,Outside HRP,0,Private (individuals & organizations),Private organization/foundation,ESP,2021,2021,,,,United Nations High Commissioner for Refugees,UN agency,Multi-sector,NGA,,,,2021,2021,financial,Parked,Traditional aid,outgoing,single,paid,2021-06-22,2021-02-28,,0,EUR,0.824,235306,E5063,2021-07-12,2021-07-12
2021-06-01,,Outside HRP,7064,Private (individuals & organizations),Private organization/foundation,ESP,2021,2021,,,,United Nations High Commissioner for Refugees,UN agency,Protection - Gender-Based Violence,NGA,,,,2021,2021,financial,Pass through,Traditional aid,outgoing,single,paid,2021-06-22,2021-02-28,,5821,EUR,0.824,235308,E5063,2021-07-12,2021-07-12
2021-06-01,,Outside HRP,22062,Private (individuals & organizations),Private organization/foundation,ESP,2021,2021,,,,United Nations High Commissioner for Refugees,UN agency,Multi-sector,NGA,,,,2021,2021,financial,Pass through,Traditional aid,outgoing,single,paid,2021-06-22,2021-02-28,,18179,EUR,0.824,235310,E5063,2021-07-12,2021-07-12
