date,budgetYear,description,amountUSD,srcOrganization,srcOrganizationTypes,srcLocations,srcUsageYearStart,srcUsageYearEnd,destPlan,destPlanCode,destPlanId,destOrganization,destOrganizationTypes,destGlobalClusters,destLocations,destProject,destProjectCode,destEmergency,destUsageYearStart,destUsageYearEnd,contributionType,flowType,method,boundary,onBoundary,status,firstReportedDate,decisionDate,keywords,originalAmount,originalCurrency,exchangeRate,id,refCode,createdAt,updatedAt
#date,#date+year+budget,#description+notes,#value+funding+total+usd,#org+name+funder,#org+type+funder+list,#country+iso3+funder+list,#date+year+start+funder,#date+year+end+funder,#activity+appeal+name,#activity+appeal+id+external,#activity+appeal+id+fts_internal,#org+name+impl,#org+type+impl+list,#sector+cluster+name+list,#country+iso3+impl+list,#activity+project+name,#activity+project+code,#crisis+name,#date+year+start+impl,#date+year+end+impl,#financial+contribution+type,#financial+contribution+type,#financial+method,#financial+direction,#financial+direction+type,#status+text,#date+reported,#date+decision,#description+keywords,#value+funding+total,#value+funding+total+currency,#financial+fx,#activity+id+fts_internal,#activity+code,#date+created,#date+updated
2021-05-14,,Anticipatory Action to mitigate the expected effects of below-average rainfall on food security and livelihoods in north-eastern Kenya,600000,"Sweden, Government of",Government,SWE,2021,2021,,,,Food & Agriculture Organization of the United Nations,UN agency,Agriculture,KEN,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,paid,2021-05-14,2021-05-14,,,,,231853,,2021-05-18,2021-05-18
2021-05-07,2021,"This project is designed to provide emergency relief assistance to 11,655 men, women, elderly people and disabled people to sustain their lives through provision of emergency food assistance, WASH and Protection. The project will intervene in 03 woredas which are highly affected by armed conflict.",597443,"Sweden, Government of",Government,SWE,2021,2021,Ethiopia Humanitarian Response Plan 2021,HETH21,1041,OXFAM,NGO,,ETH,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-05-07,2021-05-07,,5000000,SEK,8.369,231519,,2021-05-08,2021-06-02
2021-05-07,2021,"The objective of the proposed intervention is to ensure that the basic needs of the most vulnerable displaced persons, returnees and host families in the Central African. Republic are met by implementing a response to immediate needs. Oxfam will adopt a multi-sectoral approach combining EFSL, WASH and Protection, with the aim of facilitating holistic assistance tailored to the needs of the vulnerable people targeted.",597443,"Sweden, Government of",Government,SWE,2021,2021,Central African Republic Humanitarian Response Plan 2021,HCAF21,1025,OXFAM,NGO,,CAF,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-05-07,2021-05-07,,5000000,SEK,8.369,231520,,2021-05-08,2021-06-07
2021-05-07,2021,"In response to the current water and food shortages caused by the ‘triple threat’ of drought, locust and COVID-19 in Eastern Somaliland, Oxfam and local partner Taakulo will support 43,800 rural IDPs and host communities (pastoralists) with integrated WASH and Food Security interventions in the Sool, Sanaag and Togdheer regions",597443,"Sweden, Government of",Government,SWE,2021,2021,,,,OXFAM,NGO,"Food Security,Water Sanitation Hygiene",SOM,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-05-07,2021-05-07,,5000000,SEK,8.369,231521,,2021-05-08,2021-06-02
2021-05-07,2021,The IDPs in Marib are extremely vulnerable and suffer the effects of multiple consecutive displacements due to conflict. Oxfam and local partner organisation BCHR will implement an integrated response in 4 IDP camps in Marib in the sectors Emergency Food Security; Water and Sanitation and Protection targeting approximately 5 000 households.,597443,"Sweden, Government of",Government,SWE,2021,2021,Yemen Humanitarian Response Plan 2021,HYEM21,1024,OXFAM,NGO,"Food Security,Protection,Protection - Child Protection,Protection - Gender-Based Violence,Protection - Mine Action,Water Sanitation Hygiene",YEM,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-05-07,2021-05-07,,5000000,SEK,8.369,231522,,2021-05-08,2021-05-28
2021-05-07,2021,"Distribution of 415 emergency shelter kits and the provision of technical support for their installation, addressing essential needs of around 2,905 individuals. Improving the living conditions and enhance protection and dignity of the most vulnerable among the recently displaced communities. In particular, the intervention will provide protection from elements, improving health and safety, will reduce GBV related risks and, reducing the burden on host communities, and will contribute to foster social cohesion. Targeting IDPs currently hosted in schools would also support the access to education.",477954,"Sweden, Government of",Government,SWE,2021,2021,Burkina Faso Humanitarian Response Plan 2021,HBFA21,1037,Norwegian Refugee Council,NGO,,BFA,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-05-07,2021-05-07,,4000000,SEK,8.369,231531,,2021-05-08,2021-06-07
2021-05-07,2021,"Multisectoral emergency assistance, (NFIs and food assistance) to 1,000 newly displaced households (approximately 6,000 people, estimating 6 persons per household), including 55% of women and girls directly affected by the conflict. Dignity kits and water treatment inputs, distributed-, water supplied to women and girls in reproductive age (contributions of UNFPA and UNICEF). Handwashing kit provided as a measure to prevent Covid-19.",358466,"Sweden, Government of",Government,SWE,2021,2021,,,,Norwegian Refugee Council,NGO,Nutrition,MLI,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-05-07,2021-05-07,,3000000,SEK,8.369,231532,,2021-05-08,2021-06-07
2021-05-07,2021,"The proposed response aims at providing 4,500 vulnerable individuals (750 households including IDPs and Host Community) directly affected by the post-electoral crisis in CAR, with an emergency assistance of essential household items (NFI), food, access to water, sanitation and hygiene, as well as protection",358466,"Sweden, Government of",Government,SWE,2021,2021,Central African Republic Humanitarian Response Plan 2021,HCAF21,1025,Norwegian Refugee Council,NGO,,CAF,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-05-07,2021-05-07,,3000000,SEK,8.369,231533,,2021-05-08,2021-06-07
2021-05-07,2021,"The worsening humanitarian context in Tigray Region resulting from the conflict between the Federal Government and Tigray Regional Administration needs an urgent, coordinated, and integrated response to save lives, contain the humanitarian crisis, and ensure people are protected. The response will focus on providing life-saving assistance, through the distribution of food commodity vouchers/cash for displacement affected population in Tigray region. The response will pay specific attention to vulnerable groups like children, women, and people with disabilities. The project aims to reach 1700 HHs (8500 individuals) with food voucher assistance.",477954,"Sweden, Government of",Government,SWE,2021,2021,,,,Norwegian Refugee Council,NGO,,ETH,,,Ethiopia Tigray Complex Emergency,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-05-07,2021-05-07,,4000000,SEK,8.369,231534,,2021-05-08,2021-06-02
2021-05-07,2021,"Emergency assistance and shelter as part of a coordinated humanitarian response to address the devastation of a catastrophic fire which raged through camps 8E, 8W, 9, 10 and 11 on March 22nd – leaving over 45,000 people displaced and the complete destruction of 10,000 shelters. The emergency response approach of this project is split into two main activities: 1. Provision of immediate material assistance (water, dry food, non-food items) to the newly displaced to address their urgent basic needs; 2. Provision of emergency shelter materials and support to replace/rehabilitate destroyed or damaged homes.",358466,"Sweden, Government of",Government,SWE,2021,2021,Bangladesh: Rohingya Refugee Crisis Joint Response Plan 2021,RBGD21,1023,Norwegian Refugee Council,NGO,Emergency Shelter and NFI,BGD,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-05-07,2021-05-07,,3000000,SEK,8.369,231535,,2021-05-08,2021-06-07
2021-05-07,2021,"Provision of integrated package of multi-purpose cash assistance, hygiene items, NFIs and emergency education with psycho-social support to newly displaced families as a result of armed conflict in South East Myanmar.",358466,"Sweden, Government of",Government,SWE,2021,2021,Myanmar Humanitarian Response Plan 2021,HMMR21,1046,Norwegian Refugee Council,NGO,,MMR,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-05-07,2021-05-07,,3000000,SEK,8.369,231536,,2021-05-08,2021-06-07
