,Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
0,Austria,AUT,2018,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,99.17
1,Austria,AUT,2017,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,93.71
2,Austria,AUT,2016,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,99.33
3,Austria,AUT,2015,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,92.74
4,Austria,AUT,2014,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,107.93
5,Austria,AUT,2013,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,93.25
6,Austria,AUT,2012,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,93.12
7,Austria,AUT,2011,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,111.7
8,Austria,AUT,2010,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,92.34
9,Austria,AUT,2009,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,112.19
10,Austria,AUT,2008,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,120
11,Austria,AUT,2007,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,107
12,Austria,AUT,2006,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,102.2
13,Austria,AUT,2005,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,105.23
14,Austria,AUT,2004,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,112.92
15,Austria,AUT,2003,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,97.56
16,Austria,AUT,2002,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,103.57
17,Austria,AUT,2001,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,104.79
18,Austria,AUT,2000,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,100.96
19,Austria,AUT,1999,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,107.42
20,Austria,AUT,1998,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,103.6
21,Austria,AUT,1997,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,100.57
22,Austria,AUT,1996,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,93.51
23,Austria,AUT,1995,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,98.04
24,Austria,AUT,1994,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,96.03
25,Austria,AUT,1993,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,93.89
26,Austria,AUT,1992,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,92.65
27,Austria,AUT,1991,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,101.47
