,Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
0,Bulgaria,BGR,2018,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,104.6
1,Bulgaria,BGR,2017,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,105.78
2,Bulgaria,BGR,2016,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,102.02
3,Bulgaria,BGR,2015,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,97.32
4,Bulgaria,BGR,2014,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,100.66
5,Bulgaria,BGR,2013,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,102.34
6,Bulgaria,BGR,2012,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,79.55
7,Bulgaria,BGR,2011,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,88.62
8,Bulgaria,BGR,2010,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,88.2
9,Bulgaria,BGR,2009,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,77.21
10,Bulgaria,BGR,2008,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,83.82
11,Bulgaria,BGR,2007,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,56.96
12,Bulgaria,BGR,2006,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,73.9
13,Bulgaria,BGR,2005,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,69.42
14,Bulgaria,BGR,2004,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,90.85
15,Bulgaria,BGR,2003,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,71.25
16,Bulgaria,BGR,2002,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,80.88
17,Bulgaria,BGR,2001,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,75.65
18,Bulgaria,BGR,2000,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,69.91
19,Bulgaria,BGR,1999,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,78.39
20,Bulgaria,BGR,1998,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,79.77
21,Bulgaria,BGR,1997,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,85.27
22,Bulgaria,BGR,1996,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,71.38
23,Bulgaria,BGR,1995,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,98.17
24,Bulgaria,BGR,1994,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,87.06
25,Bulgaria,BGR,1993,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,75.17
26,Bulgaria,BGR,1992,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,99.66
27,Bulgaria,BGR,1991,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,111.67
28,Bulgaria,BGR,1990,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,105.77
29,Bulgaria,BGR,1989,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,117.36
30,Bulgaria,BGR,1988,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,109.21
31,Bulgaria,BGR,1987,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,107.76
32,Bulgaria,BGR,1986,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,116.37
33,Bulgaria,BGR,1985,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,96.37
34,Bulgaria,BGR,1984,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,126.66
35,Bulgaria,BGR,1983,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,111.54
36,Bulgaria,BGR,1982,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,133.65
37,Bulgaria,BGR,1981,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,123.54
38,Bulgaria,BGR,1980,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,109.99
39,Bulgaria,BGR,1979,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,119.09
40,Bulgaria,BGR,1978,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,116.19
41,Bulgaria,BGR,1977,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,109.04
42,Bulgaria,BGR,1976,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,123.66
43,Bulgaria,BGR,1975,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,112.77
44,Bulgaria,BGR,1974,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,111.06
45,Bulgaria,BGR,1973,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,118.91
46,Bulgaria,BGR,1972,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,118.82
47,Bulgaria,BGR,1971,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,112.58
48,Bulgaria,BGR,1970,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,112.39
49,Bulgaria,BGR,1969,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,115.17
50,Bulgaria,BGR,1968,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,109.89
51,Bulgaria,BGR,1967,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,109.99
52,Bulgaria,BGR,1966,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,116.54
53,Bulgaria,BGR,1965,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,101.45
54,Bulgaria,BGR,1964,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,98.22
55,Bulgaria,BGR,1963,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,94.67
56,Bulgaria,BGR,1962,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,89.91
57,Bulgaria,BGR,1961,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,80.03
58,Bulgaria,BGR,2019,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,3.23649259323424
59,Bulgaria,BGR,2018,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,3.37000959702649
60,Bulgaria,BGR,2017,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,4.03463189640178
61,Bulgaria,BGR,2016,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,4.02400847088197
62,Bulgaria,BGR,2015,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,4.02320785035774
63,Bulgaria,BGR,2014,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,4.52273418723253
64,Bulgaria,BGR,2013,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,4.48207397121708
65,Bulgaria,BGR,2012,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,4.40719162473168
66,Bulgaria,BGR,2011,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,4.64163500145713
67,Bulgaria,BGR,2010,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,4.00961473186977
68,Bulgaria,BGR,2009,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,4.23578571754181
69,Bulgaria,BGR,2008,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,5.87419962939589
70,Bulgaria,BGR,2007,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,4.65468776322833
71,Bulgaria,BGR,2006,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,6.09628492053004
72,Bulgaria,BGR,2005,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,7.28368588380955
73,Bulgaria,BGR,2004,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,8.45218476116045
74,Bulgaria,BGR,2003,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,9.09562725365934
75,Bulgaria,BGR,2002,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,9.71056962763958
76,Bulgaria,BGR,2001,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,10.6032532421664
77,Bulgaria,BGR,2000,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,10.9704827530102
78,Bulgaria,BGR,1999,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,12.9586264100386
79,Bulgaria,BGR,1998,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,13.4115652752702
80,Bulgaria,BGR,1997,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,20.4768437246107
81,Bulgaria,BGR,1996,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,9.59256417736023
82,Bulgaria,BGR,1995,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,9.21831371239451
