,Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
0,Germany,DEU,2018,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,83.6
1,Germany,DEU,2017,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,95.45
2,Germany,DEU,2016,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,94.87
3,Germany,DEU,2015,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,97.52
4,Germany,DEU,2014,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,107.61
5,Germany,DEU,2013,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,96.2
6,Germany,DEU,2012,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,94.87
7,Germany,DEU,2011,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,90.68
8,Germany,DEU,2010,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,91.64
9,Germany,DEU,2009,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,103.7
10,Germany,DEU,2008,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,100.26
11,Germany,DEU,2007,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,91.69
12,Germany,DEU,2006,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,90.6
13,Germany,DEU,2005,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,96
14,Germany,DEU,2004,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,103.86
15,Germany,DEU,2003,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,81.79
16,Germany,DEU,2002,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,91.73
17,Germany,DEU,2001,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,100.61
18,Germany,DEU,2000,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,101.29
19,Germany,DEU,1999,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,96.44
20,Germany,DEU,1998,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,92.38
21,Germany,DEU,1997,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,88.71
22,Germany,DEU,1996,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,87.51
23,Germany,DEU,1995,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,83.52
24,Germany,DEU,1994,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,79.25
25,Germany,DEU,1993,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,82.24
26,Germany,DEU,1992,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,81.59
27,Germany,DEU,1991,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,81.2
28,Germany,DEU,1990,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,89.56
29,Germany,DEU,1989,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,95.51
30,Germany,DEU,1988,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,97.45
31,Germany,DEU,1987,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,91.79
