,Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
0,Denmark,DNK,2018,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,78.21
1,Denmark,DNK,2017,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,107.11
2,Denmark,DNK,2016,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,94.98
3,Denmark,DNK,2015,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,103.9
4,Denmark,DNK,2014,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,101.12
5,Denmark,DNK,2013,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,93.84
6,Denmark,DNK,2012,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,93.69
7,Denmark,DNK,2011,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,90.77
8,Denmark,DNK,2010,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,89.12
9,Denmark,DNK,2009,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,100.47
10,Denmark,DNK,2008,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,93.03
11,Denmark,DNK,2007,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,85.85
12,Denmark,DNK,2006,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,84.65
13,Denmark,DNK,2005,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,90.11
14,Denmark,DNK,2004,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,90.77
15,Denmark,DNK,2003,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,88.22
16,Denmark,DNK,2002,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,84.99
17,Denmark,DNK,2001,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,89.27
18,Denmark,DNK,2000,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,91.72
19,Denmark,DNK,1999,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,89.37
20,Denmark,DNK,1998,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,94.36
21,Denmark,DNK,1997,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,95.08
22,Denmark,DNK,1996,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,91.06
23,Denmark,DNK,1995,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,91.11
24,Denmark,DNK,1994,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,82.96
25,Denmark,DNK,1993,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,92.3
26,Denmark,DNK,1992,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,81.05
27,Denmark,DNK,1991,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,98.55
28,Denmark,DNK,1990,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,104.96
29,Denmark,DNK,1989,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,94.38
30,Denmark,DNK,1988,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,86.2
31,Denmark,DNK,1987,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,78.67
32,Denmark,DNK,1986,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,88.06
33,Denmark,DNK,1985,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,86.97
34,Denmark,DNK,1984,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,92.1
35,Denmark,DNK,1983,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,63.55
36,Denmark,DNK,1982,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,77.4
37,Denmark,DNK,1981,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,68.38
38,Denmark,DNK,1980,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,64.38
39,Denmark,DNK,1979,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,67.88
40,Denmark,DNK,1978,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,66.06
41,Denmark,DNK,1977,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,66.67
42,Denmark,DNK,1976,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,52.82
43,Denmark,DNK,1975,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,56.27
44,Denmark,DNK,1974,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,64.18
45,Denmark,DNK,1973,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,57.95
46,Denmark,DNK,1972,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,59.16
47,Denmark,DNK,1971,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,59.82
48,Denmark,DNK,1970,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,57.57
49,Denmark,DNK,1969,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,57.08
