,Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
0,Spain,ESP,2018,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,118.14
1,Spain,ESP,2017,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,98.63
2,Spain,ESP,2016,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,106.31
3,Spain,ESP,2015,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,99.16
4,Spain,ESP,2014,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,94.53
5,Spain,ESP,2013,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,111.77
6,Spain,ESP,2012,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,81.29
7,Spain,ESP,2011,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,100.85
8,Spain,ESP,2010,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,97.75
9,Spain,ESP,2009,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,94.51
10,Spain,ESP,2008,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,93.13
11,Spain,ESP,2007,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,94.86
12,Spain,ESP,2006,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,96.17
13,Spain,ESP,2005,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,83.56
14,Spain,ESP,2004,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,96.61
15,Spain,ESP,2003,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,104.82
16,Spain,ESP,2002,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,91.93
17,Spain,ESP,2001,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,93.68
18,Spain,ESP,2000,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,94.81
19,Spain,ESP,1999,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,84.81
20,Spain,ESP,1998,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,86.03
21,Spain,ESP,1997,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,93.91
22,Spain,ESP,1996,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,85.07
23,Spain,ESP,1995,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,59.03
24,Spain,ESP,1994,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,68.72
25,Spain,ESP,1993,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,74.21
26,Spain,ESP,1992,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,79.2
27,Spain,ESP,1991,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,76.34
28,Spain,ESP,1990,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,83.27
29,Spain,ESP,1989,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,79.49
30,Spain,ESP,1988,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,71.64
31,Spain,ESP,1987,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,84.06
32,Spain,ESP,1986,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,72.39
33,Spain,ESP,1985,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,73.87
