,Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
0,Estonia,EST,2018,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,76.8
1,Estonia,EST,2017,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,103.72
2,Estonia,EST,2016,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,81.3
3,Estonia,EST,2015,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,122.83
4,Estonia,EST,2014,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,95.87
5,Estonia,EST,2013,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,83.62
6,Estonia,EST,2012,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,82.13
7,Estonia,EST,2011,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,72.45
8,Estonia,EST,2010,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,65.21
9,Estonia,EST,2009,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,73.17
10,Estonia,EST,2008,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,68.53
11,Estonia,EST,2007,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,76.51
12,Estonia,EST,2006,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,54.38
13,Estonia,EST,2005,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,66.4
14,Estonia,EST,2004,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,53.16
15,Estonia,EST,2003,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,53.1
16,Estonia,EST,2002,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,53.87
17,Estonia,EST,2001,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,61.54
18,Estonia,EST,2000,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,73.83
19,Estonia,EST,1999,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,52.25
20,Estonia,EST,1998,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,54.9
21,Estonia,EST,1997,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,67.43
22,Estonia,EST,1996,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,67.77
23,Estonia,EST,1995,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,66.62
24,Estonia,EST,1994,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,66.39
25,Estonia,EST,1993,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,83.14
26,Estonia,EST,1992,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,81.12
27,Estonia,EST,2019,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,2.4930042404439
28,Estonia,EST,2018,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,1.90197139952811
29,Estonia,EST,2017,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,2.37427690157512
30,Estonia,EST,2016,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,2.09591797875274
31,Estonia,EST,2015,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,2.83730102878832
32,Estonia,EST,2014,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,3.14360908999459
33,Estonia,EST,2013,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,3.06821821354806
