,Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
0,Finland,FIN,2018,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,79.27
1,Finland,FIN,2017,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,93.82
2,Finland,FIN,2016,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,96.14
3,Finland,FIN,2015,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,97.29
4,Finland,FIN,2014,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,106.57
5,Finland,FIN,2013,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,104.1
6,Finland,FIN,2012,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,93.19
7,Finland,FIN,2011,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,101.94
8,Finland,FIN,2010,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,89.85
9,Finland,FIN,2009,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,113.16
10,Finland,FIN,2008,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,106.89
11,Finland,FIN,2007,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,107.99
12,Finland,FIN,2006,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,101.29
13,Finland,FIN,2005,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,109.85
14,Finland,FIN,2004,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,96.86
15,Finland,FIN,2003,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,98.86
16,Finland,FIN,2002,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,105.95
17,Finland,FIN,2001,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,100.28
18,Finland,FIN,2000,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,108.21
19,Finland,FIN,1999,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,87.02
20,Finland,FIN,1998,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,77.81
21,Finland,FIN,1997,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,104.82
22,Finland,FIN,1996,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,100.74
23,Finland,FIN,1995,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,96.91
24,Finland,FIN,1994,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,95.8
25,Finland,FIN,1993,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,95.24
26,Finland,FIN,1992,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,80.47
27,Finland,FIN,1991,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,93.33
28,Finland,FIN,1990,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,115.27
29,Finland,FIN,1989,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,108.18
30,Finland,FIN,1988,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,87
