,Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
0,France,FRA,2018,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,98.44
1,France,FRA,2017,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,103.67
2,France,FRA,2016,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,91.41
3,France,FRA,2015,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,103.62
4,France,FRA,2014,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,104.97
5,France,FRA,2013,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,95.31
6,France,FRA,2012,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,96.61
7,France,FRA,2011,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,98.78
8,France,FRA,2010,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,96.67
9,France,FRA,2009,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,102.53
10,France,FRA,2008,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,99.75
11,France,FRA,2007,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,92.67
12,France,FRA,2006,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,95.86
13,France,FRA,2005,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,99.67
14,France,FRA,2004,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,106.01
15,France,FRA,2003,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,89.8
16,France,FRA,2002,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,103.06
17,France,FRA,2001,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,93.64
18,France,FRA,2000,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,102.43
19,France,FRA,1999,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,104.82
20,France,FRA,1998,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,101.28
21,France,FRA,1997,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,100.21
22,France,FRA,1996,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,99.54
23,France,FRA,1995,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,91.6
24,France,FRA,1994,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,89.79
25,France,FRA,1993,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,88.48
26,France,FRA,1992,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,97.6
27,France,FRA,1991,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,89.31
28,France,FRA,1990,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,95.31
29,France,FRA,1989,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,94.16
30,France,FRA,1988,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,93.65
31,France,FRA,1987,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,96.37
32,France,FRA,1986,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,91.11
33,France,FRA,1985,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,94.37
34,France,FRA,1984,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,95.15
35,France,FRA,1983,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,84.95
36,France,FRA,1982,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,93.27
37,France,FRA,1981,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,81.33
38,France,FRA,1980,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,88.13
39,France,FRA,1979,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,90.14
40,France,FRA,1978,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,81.83
41,France,FRA,1977,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,72.03
42,France,FRA,1976,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,75.3
43,France,FRA,1975,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,76.03
44,France,FRA,1974,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,84.95
45,France,FRA,1973,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,89.93
46,France,FRA,1972,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,76.82
47,France,FRA,1971,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,78.91
48,France,FRA,1970,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,81.08
49,France,FRA,1969,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,72.43
50,France,FRA,1968,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,79.49
51,France,FRA,1967,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,76.64
52,France,FRA,1966,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,71.28
53,France,FRA,1965,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,78.26
54,France,FRA,1964,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,73.35
55,France,FRA,1963,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,72.59
56,France,FRA,1962,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,80.52
57,France,FRA,1961,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,63.62
58,France,FRA,2019,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,1.59714194783544
59,France,FRA,2018,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,1.65112952288889
60,France,FRA,2017,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,1.54241477388973
