,Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
0,Croatia,HRV,2018,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,102.75
1,Croatia,HRV,2017,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,88.14
2,Croatia,HRV,2016,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,110.84
3,Croatia,HRV,2015,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,96.85
4,Croatia,HRV,2014,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,92.3
5,Croatia,HRV,2013,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,100.48
6,Croatia,HRV,2012,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,81.75
7,Croatia,HRV,2011,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,94.35
8,Croatia,HRV,2010,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,95.74
9,Croatia,HRV,2009,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,104.81
10,Croatia,HRV,2008,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,109.22
11,Croatia,HRV,2007,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,85.29
12,Croatia,HRV,2006,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,90.54
13,Croatia,HRV,2005,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,84.84
14,Croatia,HRV,2004,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,81.13
15,Croatia,HRV,2003,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,63.36
16,Croatia,HRV,2002,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,87.92
17,Croatia,HRV,2001,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,80.2
18,Croatia,HRV,2000,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,69.86
19,Croatia,HRV,1999,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,93.95
20,Croatia,HRV,1998,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,97.46
21,Croatia,HRV,1997,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,87.66
22,Croatia,HRV,1996,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,83.89
23,Croatia,HRV,1995,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,80.73
24,Croatia,HRV,1994,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,76.15
25,Croatia,HRV,1993,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,78.97
26,Croatia,HRV,1992,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,72.6
27,Croatia,HRV,2019,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,2.92000602707201
28,Croatia,HRV,2018,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,2.99706841694723
29,Croatia,HRV,2017,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,2.93188889145942
30,Croatia,HRV,2016,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,3.11000074522126
31,Croatia,HRV,2015,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,3.01033688689031
32,Croatia,HRV,2014,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,2.98715807805327
33,Croatia,HRV,2013,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,3.50315148783872
34,Croatia,HRV,2012,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,3.33836344130566
35,Croatia,HRV,2011,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,3.68296629648846
36,Croatia,HRV,2010,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,3.69875440295554
37,Croatia,HRV,2009,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,4.04274458498447
38,Croatia,HRV,2008,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,3.92719337688442
39,Croatia,HRV,2007,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,3.73272626699097
40,Croatia,HRV,2006,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,4.02112245080687
41,Croatia,HRV,2005,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,3.90446912122656
42,Croatia,HRV,2004,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,4.46089454210751
43,Croatia,HRV,2003,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,3.97346972362205
44,Croatia,HRV,2002,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,4.8911300306476
45,Croatia,HRV,2001,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,5.00776811346595
46,Croatia,HRV,2000,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,5.00880541214274
47,Croatia,HRV,1999,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,5.44370292345156
48,Croatia,HRV,1998,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,5.35387819085358
49,Croatia,HRV,1997,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,5.27751219731167
50,Croatia,HRV,1996,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,5.6300954634428
51,Croatia,HRV,1995,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,5.67744331951665
52,Croatia,HRV,2019,"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",SL.EMP.VULN.ZS,7.42999982833862
53,Croatia,HRV,2018,"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",SL.EMP.VULN.ZS,7.35000014305115
54,Croatia,HRV,2017,"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",SL.EMP.VULN.ZS,7.53999984264374
55,Croatia,HRV,2016,"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",SL.EMP.VULN.ZS,8.72000014781952
56,Croatia,HRV,2015,"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",SL.EMP.VULN.ZS,10.4699999094009
57,Croatia,HRV,2014,"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",SL.EMP.VULN.ZS,10.3999998569488
58,Croatia,HRV,2013,"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",SL.EMP.VULN.ZS,13.6899999380112
59,Croatia,HRV,2012,"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",SL.EMP.VULN.ZS,15.2400002479554
60,Croatia,HRV,2011,"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",SL.EMP.VULN.ZS,17.2399997711181
61,Croatia,HRV,2010,"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",SL.EMP.VULN.ZS,17.1099996566773
62,Croatia,HRV,2009,"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",SL.EMP.VULN.ZS,15.9499998092652
63,Croatia,HRV,2008,"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",SL.EMP.VULN.ZS,15.5699996948243
64,Croatia,HRV,2007,"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",SL.EMP.VULN.ZS,15.4400002956391
65,Croatia,HRV,2006,"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",SL.EMP.VULN.ZS,17.9100003242493
66,Croatia,HRV,2005,"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",SL.EMP.VULN.ZS,19.8799993991852
67,Croatia,HRV,2004,"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",SL.EMP.VULN.ZS,19.240000963211
68,Croatia,HRV,2003,"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",SL.EMP.VULN.ZS,19.4400000572204
69,Croatia,HRV,2002,"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",SL.EMP.VULN.ZS,18.6000003814697
70,Croatia,HRV,2001,"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",SL.EMP.VULN.ZS,19.2100005149842
71,Croatia,HRV,2000,"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",SL.EMP.VULN.ZS,18.7600002288819
72,Croatia,HRV,1999,"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",SL.EMP.VULN.ZS,19.7600002288818
73,Croatia,HRV,1998,"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",SL.EMP.VULN.ZS,19.3999996185302
74,Croatia,HRV,1997,"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",SL.EMP.VULN.ZS,21.0499997138977
75,Croatia,HRV,1996,"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",SL.EMP.VULN.ZS,23.4699997901916
76,Croatia,HRV,1995,"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",SL.EMP.VULN.ZS,23.710000038147
77,Croatia,HRV,1994,"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",SL.EMP.VULN.ZS,24.0800008773804
78,Croatia,HRV,1993,"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",SL.EMP.VULN.ZS,24.3500003814697
79,Croatia,HRV,1992,"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",SL.EMP.VULN.ZS,23.6199998855591
80,Croatia,HRV,1991,"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",SL.EMP.VULN.ZS,23.0000004768371
81,Croatia,HRV,2019,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1455551838.81894
82,Croatia,HRV,2018,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1027744714.86959
83,Croatia,HRV,2017,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2102735680.52954
84,Croatia,HRV,2016,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1139674210.40915
85,Croatia,HRV,2015,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1594632748.80223
86,Croatia,HRV,2014,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,63597038.6603469
87,Croatia,HRV,2013,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,566902270.930818
88,Croatia,HRV,2012,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-207948363.42988
89,Croatia,HRV,2011,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-1045612820.13437
90,Croatia,HRV,2010,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-1485244974.55918
91,Croatia,HRV,2009,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-4086119929.08062
92,Croatia,HRV,2008,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-7482989420.41721
93,Croatia,HRV,2007,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-4752582813.71008
94,Croatia,HRV,2006,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-3909392829.5932
