,Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
0,Hungary,HUN,2018,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,100.32
1,Hungary,HUN,2017,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,98.17
2,Hungary,HUN,2016,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,105.24
3,Hungary,HUN,2015,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,92.61
4,Hungary,HUN,2014,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,102.15
5,Hungary,HUN,2013,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,88.28
6,Hungary,HUN,2012,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,73.5
7,Hungary,HUN,2011,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,85.22
8,Hungary,HUN,2010,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,74.54
9,Hungary,HUN,2009,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,89.61
10,Hungary,HUN,2008,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,104.07
11,Hungary,HUN,2007,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,75.13
12,Hungary,HUN,2006,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,92.61
13,Hungary,HUN,2005,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,94.9
14,Hungary,HUN,2004,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,108.69
15,Hungary,HUN,2003,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,70.5
16,Hungary,HUN,2002,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,78.66
17,Hungary,HUN,2001,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,96.6
18,Hungary,HUN,2000,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,75.55
19,Hungary,HUN,1999,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,84.67
20,Hungary,HUN,1998,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,90.32
21,Hungary,HUN,1997,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,91.36
