,Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
0,Ireland,IRL,2018,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,77.23
1,Ireland,IRL,2017,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,101.73
2,Ireland,IRL,2016,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,96.23
3,Ireland,IRL,2015,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,104.25
4,Ireland,IRL,2014,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,99.52
5,Ireland,IRL,2013,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,95.41
6,Ireland,IRL,2012,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,83.92
7,Ireland,IRL,2011,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,97.21
8,Ireland,IRL,2010,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,84.57
9,Ireland,IRL,2009,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,81.96
10,Ireland,IRL,2008,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,92.59
11,Ireland,IRL,2007,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,82.45
12,Ireland,IRL,2006,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,85.35
13,Ireland,IRL,2005,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,91.03
14,Ireland,IRL,2004,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,111.52
15,Ireland,IRL,2003,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,97.94
16,Ireland,IRL,2002,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,92.81
17,Ireland,IRL,2001,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,97.9
18,Ireland,IRL,2000,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,96.97
19,Ireland,IRL,1999,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,96.93
20,Ireland,IRL,1998,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,92.32
21,Ireland,IRL,1997,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,93.16
22,Ireland,IRL,1996,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,105.42
23,Ireland,IRL,1995,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,92.33
24,Ireland,IRL,1994,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,89.95
25,Ireland,IRL,1993,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,84.57
26,Ireland,IRL,1992,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,97.85
27,Ireland,IRL,1991,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,93.66
28,Ireland,IRL,1990,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,93.67
29,Ireland,IRL,1989,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,87.95
30,Ireland,IRL,1988,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,93.92
31,Ireland,IRL,1987,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,95.93
32,Ireland,IRL,1986,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,86.81
33,Ireland,IRL,1985,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,93.59
34,Ireland,IRL,1984,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,112.15
35,Ireland,IRL,1983,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,90.02
36,Ireland,IRL,1982,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,104.78
37,Ireland,IRL,1981,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,92.3
38,Ireland,IRL,1980,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,97.76
39,Ireland,IRL,1979,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,96.43
40,Ireland,IRL,1978,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,96.78
41,Ireland,IRL,1977,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,114.06
42,Ireland,IRL,1976,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,88.55
43,Ireland,IRL,1975,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,85.21
44,Ireland,IRL,1974,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,85.4
45,Ireland,IRL,1973,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,89.79
46,Ireland,IRL,1972,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,83.98
47,Ireland,IRL,1971,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,99.75
48,Ireland,IRL,1970,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,95.13
49,Ireland,IRL,1969,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,94.05
50,Ireland,IRL,1968,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,100.15
51,Ireland,IRL,1967,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,97.67
52,Ireland,IRL,1966,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,90
53,Ireland,IRL,1965,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,91.4
54,Ireland,IRL,1964,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,87.84
55,Ireland,IRL,1963,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,104.88
56,Ireland,IRL,1962,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,114.21
57,Ireland,IRL,1961,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,112.91
58,Ireland,IRL,2019,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,0.901973135805956
59,Ireland,IRL,2018,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,0.917601412714969
60,Ireland,IRL,2017,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,1.17268440905715
61,Ireland,IRL,2016,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,0.940397149746438
62,Ireland,IRL,2015,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,0.894000472953557
63,Ireland,IRL,2014,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,1.2419024250937
64,Ireland,IRL,2013,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,1.08821291392835
65,Ireland,IRL,2012,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,0.980720975957952
66,Ireland,IRL,2011,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,1.21242198781105
67,Ireland,IRL,2010,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,0.949862977492862
68,Ireland,IRL,2009,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,0.554052297620744
69,Ireland,IRL,2008,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,0.845315011279761
70,Ireland,IRL,2007,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,1.03994913359141
71,Ireland,IRL,2006,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,0.918220840044462
72,Ireland,IRL,2005,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,1.03170871658115
73,Ireland,IRL,2004,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,1.57279405932965
74,Ireland,IRL,2003,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,1.47782676571704
75,Ireland,IRL,2002,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,1.73357533572654
76,Ireland,IRL,2001,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,1.9932674555931
77,Ireland,IRL,2000,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,2.50479973773118
78,Ireland,IRL,1999,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,2.57397342652925
79,Ireland,IRL,1998,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,3.47702017795795
80,Ireland,IRL,1997,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,3.90548630824374
81,Ireland,IRL,1996,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,4.68179840245419
82,Ireland,IRL,1995,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,5.57085989522278
83,Ireland,IRL,2019,"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",SL.EMP.VULN.ZS,10.210000038147
84,Ireland,IRL,2018,"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",SL.EMP.VULN.ZS,10.7099996209145
85,Ireland,IRL,2017,"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",SL.EMP.VULN.ZS,10.9000004529953
86,Ireland,IRL,2016,"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",SL.EMP.VULN.ZS,11.6200004220009
87,Ireland,IRL,2015,"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",SL.EMP.VULN.ZS,11.8999998569489
88,Ireland,IRL,2014,"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",SL.EMP.VULN.ZS,12.1700003147126
89,Ireland,IRL,2013,"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",SL.EMP.VULN.ZS,12.3600000143051
90,Ireland,IRL,2012,"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",SL.EMP.VULN.ZS,12.0900000333786
91,Ireland,IRL,2011,"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",SL.EMP.VULN.ZS,11.9799999594688
92,Ireland,IRL,2010,"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",SL.EMP.VULN.ZS,12.0999995470047
93,Ireland,IRL,2009,"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",SL.EMP.VULN.ZS,12.0599996447563
94,Ireland,IRL,2008,"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",SL.EMP.VULN.ZS,11.2300000190735
95,Ireland,IRL,2007,"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",SL.EMP.VULN.ZS,10.7200000286102
96,Ireland,IRL,2006,"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",SL.EMP.VULN.ZS,10.809999525547
97,Ireland,IRL,2005,"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",SL.EMP.VULN.ZS,11.4199998378753
98,Ireland,IRL,2004,"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",SL.EMP.VULN.ZS,12.1499998569488
99,Ireland,IRL,2003,"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",SL.EMP.VULN.ZS,11.8999998569488
100,Ireland,IRL,2002,"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",SL.EMP.VULN.ZS,12.1499999761581
101,Ireland,IRL,2001,"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",SL.EMP.VULN.ZS,12.360000371933
102,Ireland,IRL,2000,"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",SL.EMP.VULN.ZS,13.1499996185302
103,Ireland,IRL,1999,"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",SL.EMP.VULN.ZS,13.389999628067
104,Ireland,IRL,1998,"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",SL.EMP.VULN.ZS,14.1500004529953
105,Ireland,IRL,1997,"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",SL.EMP.VULN.ZS,15.3200001716614
106,Ireland,IRL,1996,"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",SL.EMP.VULN.ZS,15.7900000810623
107,Ireland,IRL,1995,"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",SL.EMP.VULN.ZS,16.3199995756149
108,Ireland,IRL,1994,"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",SL.EMP.VULN.ZS,16.8900003433227
109,Ireland,IRL,1993,"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",SL.EMP.VULN.ZS,17.319999575615
110,Ireland,IRL,1992,"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",SL.EMP.VULN.ZS,18.2999995946884
111,Ireland,IRL,1991,"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",SL.EMP.VULN.ZS,18.2800002098084
112,Ireland,IRL,2019,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-44933860211.6341
113,Ireland,IRL,2018,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,24169680523.4891
114,Ireland,IRL,2017,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,3397575466.98325
115,Ireland,IRL,2016,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-12520887870.059
116,Ireland,IRL,2015,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,12912448253.793
117,Ireland,IRL,2014,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2786017662.90395
118,Ireland,IRL,2013,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,3711544924.24214
119,Ireland,IRL,2012,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-7708573878.64766
120,Ireland,IRL,2011,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2829018505.41802
121,Ireland,IRL,2010,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2319661324.96392
122,Ireland,IRL,2009,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-5007385900.33075
123,Ireland,IRL,2008,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-15302982165.932
124,Ireland,IRL,2007,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-13848550480.3311
125,Ireland,IRL,2006,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-7862125526.79035
126,Ireland,IRL,2005,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-7144573582.78567
127,Ireland,IRL,2019,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-97444443421.6992
128,Ireland,IRL,2018,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,27441629240.5312
129,Ireland,IRL,2017,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-55346188075.9552
130,Ireland,IRL,2016,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-9219282218.49415
131,Ireland,IRL,2015,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-47433558092.5416
132,Ireland,IRL,2014,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-6747671077.87377
133,Ireland,IRL,2013,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-21251151864.3367
134,Ireland,IRL,2012,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-26152981888.6632
135,Ireland,IRL,2011,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-25222409925.4464
136,Ireland,IRL,2010,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-20925416484.7042
137,Ireland,IRL,2009,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,540847188.771246
138,Ireland,IRL,2008,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,34912564500.8935
139,Ireland,IRL,2007,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-4010888042.20378
140,Ireland,IRL,2006,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,20832366494.6158
141,Ireland,IRL,2005,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,44839954701.8212
142,Ireland,IRL,2020,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,-0.334584625428444
143,Ireland,IRL,2019,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.939044481054341
144,Ireland,IRL,2018,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.488370168032449
145,Ireland,IRL,2017,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.340531561461793
146,Ireland,IRL,2016,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.00830633773569926
147,Ireland,IRL,2015,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,-0.289879079012739
148,Ireland,IRL,2014,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.182542316627949
