,Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
0,Italy,ITA,2018,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,98.39
1,Italy,ITA,2017,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,96.94
2,Italy,ITA,2016,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,101.54
3,Italy,ITA,2015,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,103.06
4,Italy,ITA,2014,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,95.4
5,Italy,ITA,2013,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,100.67
6,Italy,ITA,2012,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,100.57
7,Italy,ITA,2011,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,108.45
8,Italy,ITA,2010,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,108.31
9,Italy,ITA,2009,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,112.99
10,Italy,ITA,2008,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,111.51
11,Italy,ITA,2007,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,108.89
12,Italy,ITA,2006,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,112.64
13,Italy,ITA,2005,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,118.74
14,Italy,ITA,2004,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,124.07
15,Italy,ITA,2003,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,104.11
16,Italy,ITA,2002,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,107.89
17,Italy,ITA,2001,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,113.24
18,Italy,ITA,2000,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,116.25
19,Italy,ITA,1999,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,121.3
20,Italy,ITA,1998,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,111.93
21,Italy,ITA,1997,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,109.57
22,Italy,ITA,1996,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,112.79
23,Italy,ITA,1995,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,108.85
24,Italy,ITA,1994,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,112.01
25,Italy,ITA,1993,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,113.74
26,Italy,ITA,1992,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,119
27,Italy,ITA,1991,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,118.56
28,Italy,ITA,1990,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,101.39
29,Italy,ITA,1989,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,114.59
30,Italy,ITA,1988,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,109.66
31,Italy,ITA,1987,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,121.58
32,Italy,ITA,1986,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,116.34
33,Italy,ITA,1985,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,114.39
34,Italy,ITA,1984,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,113.4
35,Italy,ITA,1983,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,129.99
36,Italy,ITA,1982,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,112.52
37,Italy,ITA,1981,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,118.12
38,Italy,ITA,1980,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,124.44
39,Italy,ITA,1979,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,118.22
40,Italy,ITA,1978,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,109.25
41,Italy,ITA,1977,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,106.61
