,Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
0,Lithuania,LTU,2018,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,80.53
1,Lithuania,LTU,2017,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,102.91
2,Lithuania,LTU,2016,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,100.27
3,Lithuania,LTU,2015,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,108.63
4,Lithuania,LTU,2014,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,91.1
5,Lithuania,LTU,2013,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,80.95
6,Lithuania,LTU,2012,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,87.13
7,Lithuania,LTU,2011,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,66.63
8,Lithuania,LTU,2010,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,56.13
9,Lithuania,LTU,2009,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,71.89
10,Lithuania,LTU,2008,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,65.16
11,Lithuania,LTU,2007,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,57.58
12,Lithuania,LTU,2006,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,39.99
13,Lithuania,LTU,2005,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,60.12
14,Lithuania,LTU,2004,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,60.54
15,Lithuania,LTU,2003,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,65.3
16,Lithuania,LTU,2002,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,63.2
17,Lithuania,LTU,2001,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,55.64
18,Lithuania,LTU,2000,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,68.47
19,Lithuania,LTU,1999,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,60.34
20,Lithuania,LTU,1998,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,71.63
21,Lithuania,LTU,1997,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,77.54
22,Lithuania,LTU,1996,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,70.65
23,Lithuania,LTU,1995,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,54.81
24,Lithuania,LTU,1994,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,45.9
25,Lithuania,LTU,1993,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,66.55
26,Lithuania,LTU,1992,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,48.24
27,Lithuania,LTU,2019,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,3.22397088203729
28,Lithuania,LTU,2018,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,2.88113255812916
29,Lithuania,LTU,2017,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,3.50751154955695
30,Lithuania,LTU,2016,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,3.10876135276592
31,Lithuania,LTU,2015,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,3.42067512033113
32,Lithuania,LTU,2014,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,3.42319060134286
33,Lithuania,LTU,2013,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,3.54492086525905
34,Lithuania,LTU,2012,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,3.97945678983967
35,Lithuania,LTU,2011,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,3.49019426022174
36,Lithuania,LTU,2010,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,3.02379271503829
37,Lithuania,LTU,2009,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,2.53647105450177
38,Lithuania,LTU,2008,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,3.28389712121534
39,Lithuania,LTU,2007,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,3.47541066785232
40,Lithuania,LTU,2006,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,3.86424460586287
41,Lithuania,LTU,2005,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,4.32851922287799
42,Lithuania,LTU,2004,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,4.1728968841311
43,Lithuania,LTU,2003,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,4.42285391540034
44,Lithuania,LTU,2002,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,4.77513123922724
45,Lithuania,LTU,2001,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,4.87429863580582
46,Lithuania,LTU,2000,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,5.58605077769058
47,Lithuania,LTU,1999,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,6.38288732693551
48,Lithuania,LTU,1998,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,7.66212866952932
49,Lithuania,LTU,1997,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,9.42189911908234
50,Lithuania,LTU,1996,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,10.9424023871943
51,Lithuania,LTU,1995,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,9.87951965575277
52,Lithuania,LTU,2019,"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",SL.EMP.VULN.ZS,9.08999997377396
53,Lithuania,LTU,2018,"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",SL.EMP.VULN.ZS,9.26999974250793
54,Lithuania,LTU,2017,"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",SL.EMP.VULN.ZS,9.56999957561493
55,Lithuania,LTU,2016,"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",SL.EMP.VULN.ZS,9.980000436306
56,Lithuania,LTU,2015,"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",SL.EMP.VULN.ZS,9.99000012874603
57,Lithuania,LTU,2014,"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",SL.EMP.VULN.ZS,9.82000041007996
58,Lithuania,LTU,2013,"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",SL.EMP.VULN.ZS,9.57999980449677
59,Lithuania,LTU,2012,"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",SL.EMP.VULN.ZS,8.84999990463257
60,Lithuania,LTU,2011,"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",SL.EMP.VULN.ZS,8.22999989986419
61,Lithuania,LTU,2010,"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",SL.EMP.VULN.ZS,8.5900000333786
62,Lithuania,LTU,2009,"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",SL.EMP.VULN.ZS,9.55999982357025
63,Lithuania,LTU,2008,"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",SL.EMP.VULN.ZS,9.55000019073486
64,Lithuania,LTU,2007,"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",SL.EMP.VULN.ZS,12.5000004768372
65,Lithuania,LTU,2006,"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",SL.EMP.VULN.ZS,14.7799999713898
66,Lithuania,LTU,2005,"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",SL.EMP.VULN.ZS,15.1499996185303
67,Lithuania,LTU,2004,"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",SL.EMP.VULN.ZS,16.9899995326996
68,Lithuania,LTU,2003,"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",SL.EMP.VULN.ZS,18.6400001049042
69,Lithuania,LTU,2002,"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",SL.EMP.VULN.ZS,18.6400001049042
70,Lithuania,LTU,2001,"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",SL.EMP.VULN.ZS,17.7199997901917
71,Lithuania,LTU,2000,"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",SL.EMP.VULN.ZS,17.9599995613098
72,Lithuania,LTU,1999,"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",SL.EMP.VULN.ZS,18.4300003051758
73,Lithuania,LTU,1998,"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",SL.EMP.VULN.ZS,16.0400004386902
74,Lithuania,LTU,1997,"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",SL.EMP.VULN.ZS,16.2599995136261
75,Lithuania,LTU,1996,"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",SL.EMP.VULN.ZS,16.3200001716613
76,Lithuania,LTU,1995,"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",SL.EMP.VULN.ZS,16.1600003242492
77,Lithuania,LTU,1994,"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",SL.EMP.VULN.ZS,16.0000004768371
78,Lithuania,LTU,1993,"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",SL.EMP.VULN.ZS,15.7299997806549
79,Lithuania,LTU,1992,"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",SL.EMP.VULN.ZS,15.4399998188019
80,Lithuania,LTU,1991,"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",SL.EMP.VULN.ZS,15.2600004673004
81,Lithuania,LTU,2019,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1816772388.46266
82,Lithuania,LTU,2018,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,131109644.087545
83,Lithuania,LTU,2017,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,304263512.904394
84,Lithuania,LTU,2016,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-474135418.097438
85,Lithuania,LTU,2015,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-1014069961.22815
