,Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
0,Netherlands,NLD,2018,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,94.72
1,Netherlands,NLD,2017,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,106.99
2,Netherlands,NLD,2016,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,97.66
3,Netherlands,NLD,2015,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,99.8
4,Netherlands,NLD,2014,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,102.54
5,Netherlands,NLD,2013,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,97.57
6,Netherlands,NLD,2012,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,96.24
7,Netherlands,NLD,2011,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,103.01
8,Netherlands,NLD,2010,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,97.13
9,Netherlands,NLD,2009,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,99.96
10,Netherlands,NLD,2008,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,95.73
11,Netherlands,NLD,2007,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,92.84
12,Netherlands,NLD,2006,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,87.7
13,Netherlands,NLD,2005,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,92
14,Netherlands,NLD,2004,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,98.18
15,Netherlands,NLD,2003,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,87.95
16,Netherlands,NLD,2002,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,91.2
17,Netherlands,NLD,2001,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,88.43
18,Netherlands,NLD,2000,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,96.53
19,Netherlands,NLD,1999,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,96.81
20,Netherlands,NLD,1998,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,76.46
21,Netherlands,NLD,1997,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,89.89
22,Netherlands,NLD,1996,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,94.11
23,Netherlands,NLD,1995,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,89.6
24,Netherlands,NLD,1994,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,87.18
25,Netherlands,NLD,1993,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,92.64
26,Netherlands,NLD,1992,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,92.75
27,Netherlands,NLD,1991,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,82.26
28,Netherlands,NLD,1990,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,85.8
29,Netherlands,NLD,1989,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,82.17
30,Netherlands,NLD,1988,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,77.49
31,Netherlands,NLD,1987,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,79.89
32,Netherlands,NLD,1986,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,77.9
33,Netherlands,NLD,1985,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,74.85
34,Netherlands,NLD,1984,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,74.79
35,Netherlands,NLD,1983,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,65.02
36,Netherlands,NLD,1982,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,72.86
37,Netherlands,NLD,1981,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,68.24
38,Netherlands,NLD,1980,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,66.86
39,Netherlands,NLD,1979,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,67.83
40,Netherlands,NLD,1978,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,68.75
41,Netherlands,NLD,1977,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,63.57
42,Netherlands,NLD,1976,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,58.46
43,Netherlands,NLD,1975,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,58.48
44,Netherlands,NLD,1974,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,64.75
45,Netherlands,NLD,1973,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,63.47
46,Netherlands,NLD,1972,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,60.7
47,Netherlands,NLD,1971,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,63.93
48,Netherlands,NLD,1970,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,62.66
49,Netherlands,NLD,1969,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,58.16
50,Netherlands,NLD,1968,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,58.73
51,Netherlands,NLD,1967,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,59.45
52,Netherlands,NLD,1966,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,50.7
53,Netherlands,NLD,1965,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,46.91
54,Netherlands,NLD,1964,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,56.86
55,Netherlands,NLD,1963,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,48.91
56,Netherlands,NLD,1962,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,49.96
57,Netherlands,NLD,1961,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,49.18
58,Netherlands,NLD,2019,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,1.64628810720681
59,Netherlands,NLD,2018,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,1.65067371932604
60,Netherlands,NLD,2017,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,1.85559496359799
