,Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
0,Portugal,PRT,2018,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,101.04
1,Portugal,PRT,2017,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,116.56
2,Portugal,PRT,2016,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,95.46
3,Portugal,PRT,2015,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,111.64
4,Portugal,PRT,2014,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,92.9
5,Portugal,PRT,2013,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,93.64
6,Portugal,PRT,2012,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,86.33
7,Portugal,PRT,2011,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,86.56
8,Portugal,PRT,2010,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,93.2
9,Portugal,PRT,2009,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,90.44
10,Portugal,PRT,2008,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,84.46
11,Portugal,PRT,2007,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,82.13
12,Portugal,PRT,2006,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,90.77
13,Portugal,PRT,2005,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,83.12
14,Portugal,PRT,2004,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,95.95
15,Portugal,PRT,2003,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,87.63
16,Portugal,PRT,2002,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,88.92
17,Portugal,PRT,2001,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,87.94
18,Portugal,PRT,2000,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,86.08
19,Portugal,PRT,1999,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,100.15
20,Portugal,PRT,1998,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,79.16
21,Portugal,PRT,1997,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,91.4
22,Portugal,PRT,1996,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,103.75
23,Portugal,PRT,1995,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,94.56
24,Portugal,PRT,1994,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,91.54
25,Portugal,PRT,1993,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,87.31
26,Portugal,PRT,1992,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,90.68
27,Portugal,PRT,1991,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,112.47
28,Portugal,PRT,1990,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,107.39
29,Portugal,PRT,1989,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,99.43
30,Portugal,PRT,1988,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,71.55
31,Portugal,PRT,1987,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,106.35
32,Portugal,PRT,1986,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,98.21
33,Portugal,PRT,1985,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,96.13
34,Portugal,PRT,1984,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,94.22
35,Portugal,PRT,1983,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,80.34
36,Portugal,PRT,1982,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,100.95
37,Portugal,PRT,1981,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,78.12
38,Portugal,PRT,1980,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,91.05
39,Portugal,PRT,1979,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,108.62
40,Portugal,PRT,1978,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,83.86
41,Portugal,PRT,1977,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,80.09
42,Portugal,PRT,1976,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,94.8
43,Portugal,PRT,1975,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,99.01
44,Portugal,PRT,1974,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,113.37
45,Portugal,PRT,1973,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,106.33
46,Portugal,PRT,1972,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,102.32
47,Portugal,PRT,1971,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,100.12
48,Portugal,PRT,1970,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,115.37
49,Portugal,PRT,1969,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,103.04
50,Portugal,PRT,1968,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,112.44
51,Portugal,PRT,1967,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,115.23
52,Portugal,PRT,1966,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,92.95
53,Portugal,PRT,1965,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,124.44
54,Portugal,PRT,1964,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,113.7
55,Portugal,PRT,1963,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,123.09
56,Portugal,PRT,1962,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,115.69
57,Portugal,PRT,1961,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,104.5
58,Portugal,PRT,2019,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,2.05528433247681
59,Portugal,PRT,2018,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,2.03652988278957
