,Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
0,Sweden,SWE,2018,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,64.44
1,Sweden,SWE,2017,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,103.33
2,Sweden,SWE,2016,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,96.21
3,Sweden,SWE,2015,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,103.92
4,Sweden,SWE,2014,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,99.88
5,Sweden,SWE,2013,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,88.69
6,Sweden,SWE,2012,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,89.96
7,Sweden,SWE,2011,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,85.29
8,Sweden,SWE,2010,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,79.4
9,Sweden,SWE,2009,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,91.84
10,Sweden,SWE,2008,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,87.21
11,Sweden,SWE,2007,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,84.53
12,Sweden,SWE,2006,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,75.82
13,Sweden,SWE,2005,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,87.68
14,Sweden,SWE,2004,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,93.58
15,Sweden,SWE,2003,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,86.68
16,Sweden,SWE,2002,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,89.23
17,Sweden,SWE,2001,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,88.82
18,Sweden,SWE,2000,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,91.66
19,Sweden,SWE,1999,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,85.32
20,Sweden,SWE,1998,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,94.46
21,Sweden,SWE,1997,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,97.74
22,Sweden,SWE,1996,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,96.92
23,Sweden,SWE,1995,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,83.23
