,Country Name,Country ISO3,Year,Size,Poverty ratio (% Pop.),Vulnerable empolyment (% Empl.),Salaried workers (% Empl.),Undernourishment (% Pop.),Crop production index,Obesity (% Pop. 18+),Anemia among children (% Pop. 5-),Life expectancy (Years),"Birth rate (per 1,000)","Hospital beds (per 1,000)",Health expenditure (% GDP),Government healt expenditure (% Health Exp.),"Suicide rate (per 100,000)",Population age 65+ (% Pop.),Completed lower secondary (% Pop. 25+),PISA: Mean performance average,Education expenditure (% Public Insitutions Exp.),Education expenditure (% GDP),Female population (% Pop.),"School enrollment, tertiary (GPI)",Female labor force (% Labor),Domestic violence legislation,No work discrimination legislation,Sanitation services (% Pop.),Drinking water services (% Pop.),Access to electricity (% Pop.),Energy depletion (% GNI),Unemployment rate (% Labor),Youth not in education or employment (% Youth),Part time employment (% Empl.),Net national savings (% GDP),Central government debt (% GDP),GDP per capita (US$),GNI per capita growth (%),Account balance (% GDP),Inflation (%),Industry (% GDP),R&D expenditure (% GDP),"Refugee population per 1,000",Gini index,Population living in slums (% Urban Pop.),Urban population (% Pop.),Exposure to pollution (% Pop.),Particulate emission damage (% GNI),Renewable energy consumption (% Total Consum),"Greenhouse gas emissions (kt per 1,000)","CO2 emissions (kt per 1,000)",Carbon dioxide damage (% GNI),Marine protected areas (% waters),"Fisheries production (metric tons per 1,000)","Aquaculture production (metric tons per 1,000)","Agriculture, forestry, and fishing (% GDP)",Terrestrial protected areas (% of lands),"Mortality in the road (per 100,000)",Children out of school (% primary school age),Strength legal rights,Net ODA provided (% GNI),Fixed broadband subscriptions (per 100),Trade (% GDP),Foreign net direct investment (% GDP)
40,Austria,AUT,2000,20,0.2,8.51000022888184,86.4899978637695,0.0,100.96,10.9,11.6,78.1268292682927,9.8,7.95,9.20371437,74.16340637,19.9,15.3899061080573,0.0,491.038440614333,95.1035079956055,5.58880996704102,51.4652367820855,0.0,43.5132706795941,1.0,1.0,96.936944183096,97.7139355406614,100.0,0.0669027499610251,4.69000005722046,0.0,24.1000003814697,0.0,0.0,24564.4582948404,3.89616886765755,0.0,2.34486285357277,28.2848020340956,1.88602,1.933829166482558,28.8,0.0,60.213,98.6784258759277,0.0781062729555351,26.3878560380378,10.320922026979495,7.771971172677103,0.592577826310089,0.0,0.41015701549484834,0.3553612364923412,1.64730021298979,0.0,12.5,0.270539999008179,0.0,0.234,2.360806595,85.3604956179232,0.0
41,Austria,AUT,2001,20,0.0,8.52999997138977,86.5800018310547,2.5,104.79,10.600000000000001,11.4,78.5756097560976,9.4,7.85,9.26942921,73.64528656,18.6,15.5200556994364,0.0,0.0,96.4597473144531,5.57547998428345,51.439775592124,0.0,43.7584164753744,1.0,1.0,96.9154714454404,97.7968426966292,100.0,0.070674802644299,4.01000022888184,0.0,23.7600002288818,0.0,0.0,24537.5142629883,0.36630010321845,0.0,2.65000077279529,28.2087461435225,1.9921,1.7874255513943598,0.0,0.0,59.934,0.0,0.0719576354415291,25.4836790363306,10.67501665615764,8.191402004378602,0.656626300904209,0.0,0.34256399263244947,0.297551954399075,1.67070339573168,0.0,12.2,1.27077996730804,0.0,0.342,3.959125426,87.5366647639352,0.0
42,Austria,AUT,2002,20,0.0,8.26999974250793,86.5,2.5,103.57,10.3,11.3,78.6780487804878,9.7,7.81,9.3947649,73.43814087,19.3,15.6503383403742,0.0,0.0,95.87841796875,5.52213001251221,51.423601707464,0.0,44.2855434983684,1.0,1.0,96.894002126986,97.8797528089888,100.0,0.0617084180044519,4.84999990463257,0.0,25.1299991607666,0.0,0.0,26401.7454564357,1.97346120459268,0.0,1.81035787764132,27.3880784820285,2.06598,1.7473490640942533,0.0,0.0,59.655,0.0,0.06837834442728,24.6848696982507,10.812565344012594,8.291402441265154,0.636521770125309,0.0,0.33197405034448957,0.28866770758617,1.56277441149196,0.0,12.1,3.39972996711731,0.0,0.255,5.54434666,86.9481679996606,0.0
43,Austria,AUT,2003,20,0.6,7.9500002861023,86.9599990844727,2.5,97.56,10.0,11.1,78.6317073170732,9.5,7.73,9.5472393,73.13826752,18.2,15.7943539095375,0.0,492.2151333333333,97.0668869018555,5.36183023452759,51.4131304921626,0.0,44.3734760427788,1.0,1.0,96.8708257089726,97.9626629213483,100.0,0.0599955871918804,4.78000020980835,0.0,24.5499992370605,0.0,0.0,32222.8972411655,0.790527564928695,0.0,1.35555370896445,27.498379858473,2.17456,1.982041817055952,29.5,0.0,59.375,0.0,0.0642427253623146,22.5787940830621,11.409311040688314,8.847570801323858,0.577692900966988,0.0,0.3207565964733028,0.27495181571012867,1.49193189790189,0.0,11.7,3.8406400680542,0.0,0.202,7.350915843,86.3873824162825,0.0
44,Austria,AUT,2004,20,0.3,8.28000020980835,87.4499969482422,2.5,112.92,9.7,11.0,79.1804878048781,9.7,7.73,9.70939827,72.05495453,17.5,15.9729846333216,0.0,0.0,95.239501953125,5.30243015289307,51.4032939790503,0.0,45.1138619039408,1.0,1.0,96.8473474345516,98.0455730337079,100.0,0.061188382198189,5.82999992370605,9.64000034332275,32.6199989318848,0.0,0.0,36821.5214680093,2.21826774759251,0.0,2.06120618032866,27.3737678166123,2.16612,2.1753639209952658,29.8,0.0,59.094,0.0,0.0553309520359002,23.2193672987658,11.787972077955292,8.82785011587175,0.529048889519613,0.0,0.32635965445769105,0.27741182476774867,1.47647439267771,0.0,11.0,3.4510600566864,0.0,0.233,10.58805704,90.7923456929297,0.0
45,Austria,AUT,2005,20,0.4,8.33999979496003,87.0500030517578,2.5,105.23,9.45,10.9,79.3317073170732,9.5,7.69,9.62702942,72.65168762,17.2,16.1973187620023,0.0,0.0,95.2751083374023,5.24937009811401,51.3905231814847,0.0,45.2546090889699,1.0,1.0,96.8238836495485,98.1284802434549,100.0,0.0679147705555778,5.63000011444092,8.61999988555908,36.4799995422363,9.31095690678435,0.0,38403.1338770715,1.47403316871548,0.019726108063684824,2.29913785639285,27.0742425967636,2.37324,2.5780798312653315,28.7,0.0,58.813,99.1482984298898,0.0566902468536767,24.1744174208452,11.856451281376899,8.971590197122474,0.543943859107338,0.0,0.3390930949099696,0.2941237597426976,1.25939963482441,0.0,9.6,2.80774998664856,0.0,0.522,14.22400998,94.0338056833054,0.0006118813259237124
46,Austria,AUT,2006,20,0.4,8.25000023841858,86.9499969482422,2.5,102.2,9.2,10.8,79.8804878048781,9.4,7.66,9.5311327,72.8501358,16.4,16.4899751283683,0.0,500.3104419006074,95.8892211914063,5.22652006149292,51.3731775804146,0.0,45.4312489033029,1.0,1.0,96.8004405431356,98.211390364262,100.0,0.094310758780875,5.23999977111816,7.80999994277954,36.5900001525879,10.191349636192,0.0,40635.2818159724,3.4093787283612,0.032720031407239905,1.44154851119019,27.2593708304078,2.35923,3.0809174083141353,29.6,0.0,58.532,0.0,0.0544534822156872,26.254262515098,11.566196790984154,8.685610489075534,0.521946810418739,0.0,0.3462479505398771,0.30270996164907876,1.30318945861739,0.0,9.1,2.67838001251221,0.0,0.469,17.2835331,98.0883112053436,0.01662921118146065
47,Austria,AUT,2007,20,0.7,8.80999994277954,86.3099975585938,2.5,107.0,8.95,10.7,80.1804878048781,9.2,7.75,9.53209686,72.79901123,16.0,16.8229160965761,0.0,0.0,96.2725830078125,5.14690017700195,51.3515532316357,0.0,45.4940930240603,1.0,1.0,96.7768642939671,98.2943033707865,100.0,0.0910294083219026,4.8600001335144,7.44000005722046,37.189998626709,11.9062947112566,0.0,46855.7717452095,3.04232597475662,0.03794540436559553,2.16855528800755,27.5726388212438,2.41843,3.708884119762951,30.6,0.0,58.249,0.0,0.0572820919063476,28.6009320732652,11.244277521018358,8.368402843618465,0.459447340275762,0.0,0.34826165118455377,0.30607003543010797,1.41639156023265,0.0,8.6,2.59764003753662,0.0,0.498,19.50987865,100.733254061926,0.026175309327759234
48,Austria,AUT,2008,20,0.9,8.84999990463257,86.4599990844727,2.5,120.0,8.7,10.6,80.4317073170732,9.3,7.69,9.72564602,73.78759766,15.8,17.1735120119422,0.0,0.0,96.2289276123047,5.26395988464355,51.3256988380422,0.0,45.7299864530735,1.0,1.0,96.7533027057884,98.3772134831461,100.0,0.105555227546156,4.13000011444092,7.38000011444092,36.810001373291,11.9832765332974,0.0,51708.7657541758,2.09612173718115,0.04485082179165915,3.21595033239883,26.9602141407645,2.56945,4.511929105055149,30.4,0.0,57.966,0.0,0.0567683852590999,29.3561662009359,11.369208352680817,8.269096686461186,0.424846875879503,0.0,0.2928559960853193,0.2507962510587039,1.34222302680426,0.0,8.4,2.88672995567322,0.0,0.428,20.72760735,102.073682731706,0.05020257274661839
49,Austria,AUT,2009,20,1.0,8.90000009536743,86.3600006103516,2.5,112.19,8.45,10.6,80.3317073170732,9.2,7.68,10.22582531,72.84671021,16.0,17.5052310119254,0.0,486.839986711487,95.8259735107422,5.73024988174438,51.2964819535206,0.0,46.0429019971538,1.0,1.0,96.7297587677587,98.4601235955056,100.0,0.0773034070378509,5.30000019073486,8.1899995803833,41.4599990844727,7.34089316873772,0.0,47963.1794023217,-4.85677651332391,0.02574822108188493,0.506308827696486,25.7928458296062,2.59674,4.66181160671833,31.5,0.0,57.683,0.0,0.0615469222877841,30.5143889874151,10.672816457453392,7.526222825126151,0.433277339896574,0.0,0.2985620957021561,0.2566123833393481,1.14681776764538,0.0,7.8,2.54491996765137,0.0,0.302,22.43639807,87.0622309742796,0.003143920687960398
50,Austria,AUT,2010,20,0.8,9.04000020027161,86.1900024414063,2.5,92.34,8.25,10.6,80.5804878048781,9.4,7.65,10.22101879,72.39570618,16.1,17.798383795193,0.0,0.0,95.0827178955078,5.70047998428345,51.2643423946292,0.0,46.1403778286113,1.0,1.0,96.7061560687811,98.5430337078651,100.0,0.0885615896126301,4.82000017166138,7.42000007629395,41.3800010681152,8.25028373154655,0.0,46858.0432733717,2.49012164457338,0.029274415629267653,1.81353438995065,25.5349942466396,2.7261,5.09517416592574,30.3,0.0,57.399,98.4515418523421,0.0589587943854923,30.6592165744001,11.260050446368046,8.078585585486485,0.48813256847766,0.0,0.3009540134615044,0.2591050247004688,1.26732767225745,0.0,6.8,2.32456994056702,0.0,0.322,24.38064725,99.0197962369563,0.019596433886148325
