,Country Name,MinMax,Rank
0,Austria,0.5216595788250685,6
1,Belgium,0.4152072137172542,8
2,Bulgaria,-0.8607409164311196,27
3,Croatia,-0.639875485968358,22
4,Cyprus,-0.11546461979958486,13
5,Czech Republic,-0.45254937633481906,18
6,Denmark,0.8870517332458503,3
7,Estonia,-0.5315054851843857,19
8,Finland,0.5130782670783696,7
9,France,0.29610535035379226,10
10,Germany,0.38380963384786426,9
11,Greece,-0.27823490906598775,14
12,Hungary,-0.6310401762539334,21
13,Ireland,0.909090909090909,2
14,Italy,0.12282289012970188,11
15,Latvia,-0.6504997700182493,24
16,Lithuania,-0.6409719926428762,23
17,Luxembourg,1.0,1
18,Malta,-0.30942412833456273,16
19,Netherlands,0.6238710326753091,5
20,Poland,-0.6759782258398465,25
21,Portugal,-0.34231887989547916,17
22,Romania,-0.8052024345480577,26
23,Slovak Republic,-0.5387747525303167,20
24,Slovenia,-0.3072575457956858,15
25,Spain,-0.07841643868957411,12
26,Sweden,0.7319697469226671,4
